Li Auto PE Ratio Historical Data,Li Auto PE Ratio Historical Data,Li Auto PE Ratio Historical Data,Li Auto PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.77,,28.17
2024-09-30,25.65,$0.95,27.0
2024-06-30,17.88,$0.57,31.37
2023-06-30,35.1,$0.43,81.63
2023-03-31,24.95,$0.07,356.43
2022-03-31,25.81,$-0.14,0.0
