Williams PE Ratio Historical Data,Williams PE Ratio Historical Data,Williams PE Ratio Historical Data,Williams PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,59.75,,32.65
2024-12-31,54.12,$1.83,29.57
2024-09-30,45.26,$2.37,19.09
2024-06-30,41.69,$2.33,17.89
2024-03-31,38.23,$2.38,16.06
2023-12-31,33.72,$2.62,12.87
2023-09-30,32.21,$2.23,14.44
2023-06-30,30.79,$2.18,14.12
2023-03-31,27.76,$2.13,13.03
2022-12-31,30.12,$1.68,17.93
2022-09-30,25.88,$1.64,15.78
2022-06-30,27.84,$1.28,21.75
2022-03-31,29.45,$1.20,24.54
2021-12-31,22.66,$1.24,18.27
2021-09-30,22.23,$0.82,27.11
2021-06-30,22.37,$0.94,23.8
2021-03-31,19.67,$0.94,20.93
2020-12-31,16.37,$0.16,102.3
2020-09-30,15.76,$0.18,87.53
2020-06-30,14.95,$0.11,135.94
2020-03-31,10.89,$0.12,90.71
2019-12-31,17.71,$0.71,24.95
2019-09-30,17.67,$0.13,135.93
2019-06-30,20.28,$0.08,253.47
2019-03-31,20.49,$-0.02,0.0
2018-12-31,15.51,0,0.0
2018-09-30,18.86,$2.50,7.54
2018-06-30,18.58,$2.41,7.71
2018-03-31,16.82,$2.35,7.16
2017-12-31,20.38,$2.62,7.78
2017-09-30,19.85,$0.57,34.82
2017-06-30,19.82,$0.61,32.5
2017-03-31,19.17,$-0.03,0.0
2016-12-31,19.97,$-0.57,0.0
2016-09-30,19.58,$-1.49,0.0
2016-06-30,13.69,$-1.62,0.0
2016-03-31,9.89,$-0.93,0.0
2015-12-31,15.2,$-0.75,0.0
2015-09-30,21.32,$0.45,47.38
2015-06-30,32.73,$2.72,12.03
2015-03-31,28.5,$2.72,10.48
2014-12-31,25.01,$2.83,8.84
2014-09-30,30.41,$2.55,11.93
2014-06-30,31.67,$0.53,59.75
2014-03-31,21.88,$0.59,37.08
2013-12-31,20.59,$0.62,33.22
2013-09-30,19.2,$0.87,22.07
2013-06-30,16.97,$0.92,18.45
2013-03-31,19.38,$0.92,21.07
2012-12-31,16.77,$1.39,12.07
2012-09-30,17.74,$0.42,42.23
2012-06-30,14.48,$0.63,22.98
2012-03-31,15.32,$0.80,19.15
2011-12-31,13.32,$0.64,20.81
2011-09-30,9.74,$1.67,5.83
2011-06-30,12.01,$-0.95,0.0
2011-03-31,12.3,$-1.02,0.0
2010-12-31,9.71,$-1.89,0.0
2010-09-30,7.47,$-1.89,0.0
2010-06-30,7.09,$0.51,13.91
2010-03-31,8.91,$0.44,20.24
2009-12-31,8.09,$0.48,16.85
