West Fraser Timber PE Ratio Historical Data,West Fraser Timber PE Ratio Historical Data,West Fraser Timber PE Ratio Historical Data,West Fraser Timber PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.95,,0.0
2024-12-31,86.55,$-0.21,0.0
2024-09-30,97.36,$-1.28,0.0
2024-06-30,76.87,$1.56,49.28
2024-03-31,86.43,$-1.21,0.0
2023-12-31,85.58,$-2.15,0.0
2023-09-30,72.54,$-1.41,0.0
2023-06-30,85.98,$-0.72,0.0
2023-03-31,71.24,$8.44,8.44
2022-12-31,72.29,$19.21,3.76
2022-09-30,72.49,$23.47,3.09
2022-06-30,76.73,$25.17,3.05
2022-03-31,82.12,$29.90,2.75
2021-12-31,94.75,$26.61,3.56
2021-09-30,83.52,$27.58,3.03
2021-06-30,70.9,$23.38,3.03
2021-03-31,71.05,$11.06,6.42
2020-12-31,61.69,$4.10,15.05
