Alaunos Therapeutics PE Ratio Historical Data,Alaunos Therapeutics PE Ratio Historical Data,Alaunos Therapeutics PE Ratio Historical Data,Alaunos Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.46,,0.0
2024-09-30,3.22,$-2.51,0.0
2024-06-30,6.99,$-7.81,0.0
2024-03-31,18.1,$-13.09,0.0
2023-12-31,10.61,$-17.99,0.0
2023-09-30,19.77,$-23.99,0.0
2023-06-30,76.5,$-23.99,0.0
2023-03-31,94.5,$-25.49,0.0
2022-12-31,97.37,$-26.99,0.0
2022-09-30,258.0,$-28.49,0.0
2022-06-30,186.0,$-38.98,0.0
2022-03-31,97.86,$-47.98,0.0
2021-12-31,163.5,$-55.47,0.0
2021-09-30,273.0,$-64.47,0.0
2021-06-30,396.0,$-62.97,0.0
2021-03-31,540.0,$-59.97,0.0
2020-12-31,378.0,$-58.47,0.0
2020-09-30,378.0,$-55.47,0.0
2020-06-30,492.0,$-104.95,0.0
2020-03-31,367.5,$-104.95,0.0
2019-12-31,708.0,$-103.45,0.0
2019-09-30,642.0,$103.45,6.21
2019-06-30,874.5,$148.43,5.89
2019-03-31,577.5,$143.93,4.01
2018-12-31,280.5,$133.43,2.1
2018-09-30,480.0,$-79.46,0.0
2018-06-30,453.0,$-79.46,0.0
2018-03-31,588.0,$-80.96,0.0
2017-12-31,621.0,$-80.96,0.0
2017-09-30,921.0,$-77.96,0.0
2017-06-30,933.0,$-74.96,0.0
2017-03-31,951.0,$-206.90,0.0
2016-12-31,802.5,$-197.90,0.0
2016-09-30,844.5,$-191.90,0.0
2016-06-30,823.5,$-196.40,0.0
2016-03-31,1113.0,$-61.47,0.0
2015-12-31,1246.5,$-151.43,0.0
2015-09-30,1350.0,$-154.42,0.0
2015-06-30,1800.0,$-142.43,0.0
2015-03-31,1615.5,$-134.93,0.0
2014-12-31,760.5,$-46.48,0.0
2014-09-30,396.0,$-46.48,0.0
2014-06-30,604.5,$-67.47,0.0
2014-03-31,687.0,$-91.46,0.0
2013-12-31,651.0,$-98.95,0.0
2013-09-30,591.0,$-140.93,0.0
2013-06-30,316.5,$-145.43,0.0
2013-03-31,274.5,$-157.42,0.0
2012-12-31,624.0,$-182.91,0.0
2012-09-30,817.5,$-155.92,0.0
2012-06-30,892.5,$-122.94,0.0
2012-03-31,810.0,$-101.95,0.0
2011-12-31,661.5,$-151.42,0.0
2011-09-30,661.5,$-160.42,0.0
2011-06-30,918.0,$-197.90,0.0
2011-03-31,937.5,$-145.43,0.0
2010-12-31,699.0,$-113.94,0.0
2010-09-30,562.5,$-71.96,0.0
2010-06-30,477.0,$-52.47,0.0
2010-03-31,762.0,$-97.45,0.0
2009-12-31,444.0,$-55.47,0.0
