Primerica PE Ratio Historical Data,Primerica PE Ratio Historical Data,Primerica PE Ratio Historical Data,Primerica PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,288.89,,21.01
2024-12-31,271.42,$13.75,19.74
2024-09-30,264.35,$13.09,20.19
2024-06-30,235.05,$12.49,18.82
2024-03-31,250.5,$16.43,15.25
2023-12-31,203.14,$15.88,12.79
2023-09-30,190.94,$15.12,12.63
2023-06-30,194.01,$12.26,15.82
2023-03-31,168.38,$11.08,15.2
2022-12-31,138.11,$9.76,14.15
2022-09-30,119.77,$7.09,16.89
2022-06-30,115.64,$8.54,13.54
2022-03-31,131.59,$8.97,14.67
2021-12-31,146.82,$9.37,15.67
2021-09-30,146.72,$11.02,13.31
2021-06-30,145.78,$11.01,13.24
2021-03-31,140.31,$10.30,13.62
2020-12-31,126.71,$9.59,13.21
2020-09-30,106.71,$9.31,11.46
2020-06-30,109.64,$8.78,12.49
2020-03-31,82.89,$8.55,9.69
2019-12-31,121.95,$8.63,14.13
2019-09-30,118.53,$8.38,14.14
2019-06-30,111.43,$8.04,13.86
2019-03-31,113.16,$7.71,14.68
2018-12-31,90.26,$7.34,12.3
2018-09-30,111.12,$9.07,12.25
2018-06-30,91.62,$8.59,10.67
2018-03-31,88.63,$8.00,11.08
2017-12-31,92.94,$7.65,12.15
2017-09-30,74.48,$5.14,14.49
2017-06-30,69.01,$4.90,14.08
2017-03-31,74.71,$4.77,15.66
2016-12-31,62.7,$4.58,13.69
2016-09-30,47.96,$4.34,11.05
2016-06-30,51.6,$4.10,12.58
2016-03-31,40.01,$3.81,10.5
2015-12-31,42.27,$3.71,11.39
2015-09-30,40.21,$3.58,11.23
2015-06-30,40.62,$3.35,12.12
2015-03-31,45.09,$3.30,13.66
2014-12-31,47.93,$3.29,14.57
2014-09-30,42.49,$3.12,13.62
2014-06-30,42.06,$3.15,13.35
2014-03-31,41.3,$3.00,13.77
2013-12-31,37.51,$2.84,13.21
2013-09-30,35.18,$2.84,12.39
2013-06-30,32.55,$2.78,11.71
2013-03-31,28.41,$2.76,10.29
2012-12-31,25.92,$2.72,9.53
2012-09-30,24.66,$2.62,9.41
2012-06-30,22.96,$2.43,9.45
2012-03-31,21.61,$2.29,9.44
2011-12-31,19.9,$2.36,8.43
2011-09-30,18.43,$2.48,7.43
2011-06-30,18.75,$2.47,7.59
2011-03-31,21.75,$2.18,9.98
