First Financial Northwest PE Ratio Historical Data,First Financial Northwest PE Ratio Historical Data,First Financial Northwest PE Ratio Historical Data,First Financial Northwest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.67,,206.09
2024-09-30,22.52,$0.11,204.73
2024-06-30,21.13,$0.34,62.15
2024-03-31,20.43,$0.33,61.92
2023-12-31,13.31,$0.68,19.57
2023-09-30,12.43,$0.90,13.81
2023-06-30,11.0,$1.17,9.4
2023-03-31,12.21,$1.32,9.25
2022-12-31,14.18,$1.45,9.78
2022-09-30,13.93,$1.39,10.03
2022-06-30,14.48,$1.30,11.14
2022-03-31,15.82,$1.39,11.38
2021-12-31,14.85,$1.29,11.51
2021-09-30,14.94,$1.28,11.67
2021-06-30,13.73,$1.15,11.94
2021-03-31,12.82,$0.97,13.21
2020-12-31,10.17,$0.88,11.56
2020-09-30,8.06,$0.86,9.38
2020-06-30,8.48,$0.90,9.42
2020-03-31,8.7,$1.01,8.61
2019-12-31,12.82,$1.03,12.45
2019-09-30,12.61,$0.98,12.86
2019-06-30,11.99,$1.00,11.99
2019-03-31,13.27,$0.97,13.68
2018-12-31,12.96,$1.44,9.0
2018-09-30,13.89,$1.46,9.51
2018-06-30,16.28,$1.37,11.88
2018-03-31,13.92,$1.25,11.13
2017-12-31,12.83,$0.81,15.84
2017-09-30,14.0,$0.87,16.09
2017-06-30,13.23,$0.91,14.54
2017-03-31,14.43,$0.84,17.18
2016-12-31,16.07,$0.76,21.15
2016-09-30,11.5,$0.63,18.25
2016-06-30,10.73,$0.59,18.18
2016-03-31,10.59,$0.65,16.3
2015-12-31,11.18,$0.67,16.68
2015-09-30,9.64,$0.71,13.57
2015-06-30,9.88,$0.72,13.73
2015-03-31,9.75,$0.71,13.73
2014-12-31,9.45,$0.72,13.13
2014-09-30,7.98,$0.77,10.37
2014-06-30,8.46,$0.74,11.43
2014-03-31,7.86,$1.53,5.14
2013-12-31,7.99,$1.45,5.51
2013-09-30,8.01,$1.29,6.21
2013-06-30,7.89,$1.09,7.24
2013-03-31,5.95,$0.22,27.05
2012-12-31,5.75,$0.17,33.84
2012-09-30,6.13,$0.13,47.19
2012-06-30,6.19,$0.21,29.47
2012-03-31,5.88,$0.20,29.42
2011-12-31,4.5,$0.24,18.73
2011-09-30,4.28,$0.22,19.47
2011-06-30,3.87,$-0.51,0.0
2011-03-31,4.33,$-2.01,0.0
2010-12-31,3.05,$-3.11,0.0
2010-09-30,2.97,$-3.83,0.0
2010-06-30,3.02,$-3.23,0.0
2010-03-31,5.2,$-3.29,0.0
2009-12-31,4.92,$-2.21,0.0
