Optical Cable PE Ratio Historical Data,Optical Cable PE Ratio Historical Data,Optical Cable PE Ratio Historical Data,Optical Cable PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.37,,0.0
2025-01-31,4.93,$-0.36,0.0
2024-10-31,2.45,$-0.54,0.0
2024-07-31,2.75,$-0.76,0.0
2024-04-30,2.8,$-0.55,0.0
2024-01-31,2.67,$-0.03,0.0
2023-10-31,2.71,$0.25,10.84
2023-07-31,3.69,$0.57,6.47
2023-04-30,4.19,$0.51,8.22
2023-01-31,4.09,$0.17,24.06
2022-10-31,3.57,$-0.05,0.0
2022-07-31,3.66,$-0.20,0.0
2022-04-30,3.65,$0.56,6.52
2022-01-31,4.72,$1.04,4.54
2021-10-31,3.86,$0.87,4.44
2021-07-31,4.48,$0.81,5.53
2021-04-30,3.4,$-0.10,0.0
2021-01-31,3.24,$-0.78,0.0
2020-10-31,2.67,$-0.84,0.0
2020-07-31,2.4,$-0.87,0.0
2020-04-30,2.46,$-0.82,0.0
2020-01-31,3.46,$-0.67,0.0
2019-10-31,2.95,$-0.76,0.0
2019-07-31,3.76,$-0.72,0.0
2019-04-30,4.94,$-0.51,0.0
2019-01-31,3.61,$-0.25,0.0
2018-10-31,4.75,$0.13,36.54
2018-07-31,3.8,$0.09,42.22
2018-04-30,2.8,$-0.02,0.0
2018-01-31,2.35,$-0.24,0.0
2017-10-31,2.45,$-0.27,0.0
2017-07-31,2.3,$-0.07,0.0
2017-04-30,2.95,$0.01,295.0
2017-01-31,3.27,$-0.10,0.0
2016-10-31,2.8,$-0.29,0.0
2016-07-31,2.2,$-0.88,0.0
2016-04-30,2.51,$-1.00,0.0
2016-01-31,2.4,$-0.85,0.0
2015-10-31,3.13,$-0.61,0.0
2015-07-31,3.37,$0.01,336.83
2015-04-30,4.04,$0.14,28.86
2015-01-31,5.12,$0.12,42.69
2014-10-31,4.51,$0.09,50.16
2014-07-31,4.2,$-0.07,0.0
2014-04-30,3.61,$-0.13,0.0
2014-01-31,3.79,$-0.10,0.0
2013-10-31,3.69,$-0.01,0.0
2013-07-31,4.21,$0.08,52.57
2013-04-30,3.98,$0.28,14.2
2013-01-31,3.94,$0.42,9.38
2012-10-31,3.91,$0.43,9.09
2012-07-31,3.46,$0.40,8.64
2012-04-30,2.95,$0.24,12.27
2012-01-31,3.29,$0.07,47.06
2011-10-31,3.32,$0.10,33.18
2011-07-31,3.72,$0.29,12.81
2011-04-30,4.13,$0.36,11.48
2011-01-31,5.6,$-0.89,0.0
2010-10-31,2.95,$-1.00,0.0
2010-07-31,2.74,$-1.24,0.0
2010-04-30,2.89,$-1.52,0.0
2010-01-31,3.21,$-0.25,0.0
2009-10-31,2.75,$-0.32,0.0
