AMCON Distributing PE Ratio Historical Data,AMCON Distributing PE Ratio Historical Data,AMCON Distributing PE Ratio Historical Data,AMCON Distributing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,116.02,,19.47
2024-12-31,128.16,$5.96,21.5
2024-09-30,144.75,$7.17,20.19
2024-06-30,140.1,$10.03,13.97
2024-03-31,183.32,$14.16,12.95
2023-12-31,194.1,$16.76,11.58
2023-09-30,204.86,$19.44,10.54
2023-06-30,201.72,$22.52,8.96
2023-03-31,165.79,$26.20,6.33
2022-12-31,179.5,$27.90,6.43
2022-09-30,208.06,$28.62,7.27
2022-06-30,161.37,$31.64,5.1
2022-03-31,153.58,$27.85,5.51
2021-12-31,197.06,$26.99,7.3
2021-09-30,143.07,$27.38,5.23
2021-06-30,146.89,$21.38,6.87
2021-03-31,109.89,$17.67,6.22
2020-12-31,113.78,$14.56,7.81
2020-09-30,59.13,$9.79,6.04
2020-06-30,51.43,$4.38,11.74
2020-03-31,57.36,$2.71,21.16
2019-12-31,65.16,$3.94,16.54
2019-09-30,68.82,$5.13,13.42
2019-06-30,86.34,$7.14,12.09
2019-03-31,80.18,$7.22,11.11
2018-12-31,89.42,$5.26,17.0
2018-09-30,77.78,$5.40,14.4
2018-06-30,78.56,$5.28,14.88
2018-03-31,80.18,$4.66,17.21
2017-12-31,86.73,$4.88,17.77
2017-09-30,81.6,$4.27,19.11
2017-06-30,93.14,$5.11,18.23
2017-03-31,87.33,$7.17,12.18
2016-12-31,101.18,$8.07,12.54
2016-09-30,79.66,$8.40,9.48
2016-06-30,78.33,$8.81,8.89
2016-03-31,71.18,$8.88,8.02
2015-12-31,69.68,$8.31,8.38
2015-09-30,69.22,$8.57,8.08
2015-06-30,68.69,$8.41,8.17
2015-03-31,69.26,$7.45,9.3
2014-12-31,68.76,$7.13,9.64
2014-09-30,72.69,$6.75,10.77
2014-06-30,69.96,$6.25,11.19
2014-03-31,73.09,$6.71,10.89
2013-12-31,68.11,$7.62,8.94
2013-09-30,69.62,$7.79,8.94
2013-06-30,67.65,$9.05,7.48
2013-03-31,65.24,$9.23,7.07
2012-12-31,54.4,$9.47,5.74
2012-09-30,54.7,$9.40,5.82
2012-06-30,47.17,$9.69,4.87
2012-03-31,53.14,$9.68,5.49
2011-12-31,53.75,$9.86,5.45
2011-09-30,47.42,$10.44,4.54
2011-06-30,57.6,$10.02,5.75
2011-03-31,66.35,$11.33,5.86
2010-12-31,66.05,$11.68,5.65
2010-09-30,50.82,$11.59,4.38
2010-06-30,46.59,$8.39,5.55
2010-03-31,48.73,$14.29,3.41
2009-12-31,53.79,$11.89,4.52
