Nicolet Bankshares PE Ratio Historical Data,Nicolet Bankshares PE Ratio Historical Data,Nicolet Bankshares PE Ratio Historical Data,Nicolet Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,112.72,,14.04
2024-12-31,104.91,$8.03,13.06
2024-09-30,95.39,$7.86,12.14
2024-06-30,82.6,$6.90,11.97
2024-03-31,85.53,$6.49,13.18
2023-12-31,79.81,$4.06,19.66
2023-09-30,68.96,$3.87,17.82
2023-06-30,66.89,$4.02,16.64
2023-03-31,61.86,$4.24,14.59
2022-12-31,78.28,$6.55,11.95
2022-09-30,69.11,$5.97,11.58
2022-06-30,70.97,$5.41,13.12
2022-03-31,91.8,$5.45,16.84
2021-12-31,84.13,$5.50,15.3
2021-09-30,72.78,$5.99,12.15
2021-06-30,69.01,$6.98,9.89
2021-03-31,81.88,$6.49,12.62
2020-12-31,65.1,$5.72,11.38
2020-09-30,53.58,$5.16,10.38
2020-06-30,53.76,$4.84,11.11
2020-03-31,53.55,$5.47,9.79
2019-12-31,72.45,$5.54,13.08
2019-09-30,65.31,$5.47,11.94
2019-06-30,60.89,$5.16,11.8
2019-03-31,58.47,$4.23,13.82
2018-12-31,47.88,$4.12,11.62
2018-09-30,53.48,$3.89,13.75
2018-06-30,54.07,$3.71,14.57
2018-03-31,54.03,$3.56,15.18
2017-12-31,53.7,$3.31,16.23
2017-09-30,56.44,$3.11,18.15
2017-06-30,53.68,$2.89,18.57
2017-03-31,46.44,$2.45,18.96
2016-12-31,46.79,$2.33,20.08
