Finance Of America PE Ratio Historical Data,Finance Of America PE Ratio Historical Data,Finance Of America PE Ratio Historical Data,Finance Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.95,,3.43
2024-12-31,28.12,$6.40,4.39
2024-09-30,11.57,$11.70,0.99
2024-06-30,4.93,$-3.30,0.0
2024-03-31,7.35,$-12.10,0.0
2023-12-31,11.0,$-10.60,0.0
2023-09-30,12.8,$-23.60,0.0
2023-06-30,19.1,$-29.60,0.0
2023-03-31,12.4,$-27.50,0.0
2022-12-31,12.7,$-31.20,0.0
2022-09-30,14.8,$-90.70,0.0
2022-06-30,15.7,$-75.00,0.0
2022-03-31,30.4,$-68.50,0.0
2021-12-31,39.7,$-65.50,0.0
2021-09-30,49.5,$1.70,29.12
2021-06-30,76.3,$-0.50,0.0
2021-03-31,95.5,0,0.0
2020-12-31,104.0,0,0.0
2020-09-30,101.8,0,0.0
2020-06-30,102.0,0,0.0
2020-03-31,98.9,0,0.0
