Tourmaline Bio PE Ratio Historical Data,Tourmaline Bio PE Ratio Historical Data,Tourmaline Bio PE Ratio Historical Data,Tourmaline Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.88,,0.0
2024-12-31,20.28,$-2.01,0.0
2024-09-30,25.71,$-2.82,0.0
2024-06-30,12.86,$-3.68,0.0
2024-03-31,22.9,$-6.50,0.0
2023-12-31,26.18,$-11.35,0.0
2023-09-30,2.81,$-14.94,0.0
2023-06-30,3.04,$-17.90,0.0
2023-03-31,1.88,$-18.80,0.0
2022-12-31,1.02,$-17.90,0.0
2022-09-30,2.63,$-16.60,0.0
2022-06-30,4.51,$-15.20,0.0
2022-03-31,9.84,$-14.90,0.0
