Binah Capital PE Ratio Historical Data,Binah Capital PE Ratio Historical Data,Binah Capital PE Ratio Historical Data,Binah Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.87,,0.0
2024-09-30,2.92,$-0.25,0.0
2024-06-30,6.2,$-0.18,0.0
2024-03-31,12.95,$-0.26,0.0
2023-12-31,10.35,$-0.12,0.0
2023-09-30,10.35,$-0.12,0.0
2023-06-30,10.35,$-0.12,0.0
2023-03-31,10.35,0,0.0
2022-12-31,10.35,0,0.0
2022-09-30,10.35,0,0.0
2022-06-30,10.32,0,0.0
2022-03-31,10.21,0,0.0
2021-12-31,10.1,0,0.0
