Puma Biotechnology PE Ratio Historical Data,Puma Biotechnology PE Ratio Historical Data,Puma Biotechnology PE Ratio Historical Data,Puma Biotechnology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.41,,5.59
2024-12-31,3.05,$0.61,5.0
2024-09-30,2.55,$0.48,5.31
2024-06-30,3.26,$0.19,17.16
2024-03-31,5.3,$0.33,16.06
2023-12-31,4.33,$0.46,9.41
2023-09-30,2.63,$0.08,32.88
2023-06-30,3.53,$-0.05,0.0
2023-03-31,3.09,$0.11,28.09
2022-12-31,4.23,$0.00,0.0
2022-09-30,2.37,$0.22,10.77
2022-06-30,2.85,$-0.86,0.0
2022-03-31,2.88,$-1.20,0.0
2021-12-31,3.04,$-0.72,0.0
2021-09-30,7.01,$-1.20,0.0
2021-06-30,9.18,$-0.90,0.0
2021-03-31,9.72,$-0.69,0.0
2020-12-31,10.26,$-1.52,0.0
2020-09-30,10.09,$-1.43,0.0
2020-06-30,10.43,$-1.08,0.0
2020-03-31,8.44,$-2.13,0.0
2019-12-31,8.75,$-1.96,0.0
2019-09-30,10.77,$-2.47,0.0
2019-06-30,12.71,$-2.40,0.0
2019-03-31,38.79,$-2.60,0.0
2018-12-31,20.35,$-2.99,0.0
2018-09-30,45.85,$-3.90,0.0
2018-06-30,59.15,$-5.60,0.0
2018-03-31,68.05,$-6.53,0.0
2017-12-31,98.85,$-7.85,0.0
2017-09-30,119.75,$-8.18,0.0
2017-06-30,87.4,$-8.13,0.0
2017-03-31,37.2,$-8.08,0.0
2016-12-31,30.7,$-8.30,0.0
2016-09-30,67.05,$-8.16,0.0
2016-06-30,29.79,$-8.01,0.0
2016-03-31,29.37,$-7.97,0.0
2015-12-31,78.4,$-7.44,0.0
2015-09-30,75.36,$-7.11,0.0
2015-06-30,116.75,$-6.43,0.0
2015-03-31,236.11,$-5.71,0.0
2014-12-31,189.27,$-4.72,0.0
2014-09-30,238.57,$-3.71,0.0
2014-06-30,66.0,$-3.02,0.0
2014-03-31,104.14,$-2.17,0.0
2013-12-31,103.53,$-1.91,0.0
2013-09-30,53.66,$-2.18,0.0
2013-06-30,44.37,$-2.97,0.0
2013-03-31,33.39,$-3.27,0.0
