Stryve Foods PE Ratio Historical Data,Stryve Foods PE Ratio Historical Data,Stryve Foods PE Ratio Historical Data,Stryve Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-02-28,0.48,,0.0
2024-09-30,1.46,$-5.47,0.0
2024-06-30,1.75,$-6.66,0.0
2024-03-31,1.46,$-7.80,0.0
2023-12-31,2.6,$-8.63,0.0
2023-09-30,3.12,$-8.54,0.0
2023-06-30,0.61,$-8.80,0.0
2023-03-31,0.49,$-14.69,0.0
2022-12-31,0.73,$-16.19,0.0
2022-09-30,0.53,$-22.79,0.0
2022-06-30,0.88,$-27.44,0.0
2022-03-31,1.25,$-23.39,0.0
2021-12-31,3.95,$-25.64,0.0
2021-09-30,5.35,$-17.69,0.0
2021-06-30,10.31,$-10.05,0.0
2021-03-31,10.27,$-9.60,0.0
2020-12-31,10.66,$-4.05,0.0
2020-09-30,10.24,$-3.60,0.0
2020-06-30,10.26,$-4.50,0.0
2020-03-31,10.07,$-1.35,0.0
2019-12-31,10.15,$-1.35,0.0
