Wyndham Hotels & Resorts PE Ratio Historical Data,Wyndham Hotels & Resorts PE Ratio Historical Data,Wyndham Hotels & Resorts PE Ratio Historical Data,Wyndham Hotels & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,91.14,,25.11
2024-12-31,100.79,$3.63,27.77
2024-09-30,77.85,$3.15,24.72
2024-06-30,73.37,$3.07,23.9
2024-03-31,75.7,$2.82,26.84
2023-12-31,78.93,$3.40,23.21
2023-09-30,67.95,$3.43,19.81
2023-06-30,66.7,$3.35,19.91
2023-03-31,65.67,$3.53,18.6
2022-12-31,68.67,$3.90,17.61
2022-09-30,58.82,$3.79,15.52
2022-06-30,62.7,$3.75,16.72
2022-03-31,80.43,$3.48,23.11
2021-12-31,84.83,$2.60,32.63
2021-09-30,72.75,$2.00,36.37
2021-06-30,67.91,$1.20,56.59
2021-03-31,65.41,$-1.39,0.0
2020-12-31,55.59,$-1.42,0.0
2020-09-30,47.16,$-0.66,0.0
2020-06-30,39.74,$-0.48,0.0
2020-03-31,29.33,$1.65,17.78
2019-12-31,57.95,$1.64,35.34
2019-09-30,47.5,$1.39,34.17
2019-06-30,50.9,$1.50,33.93
2019-03-31,45.41,$1.44,31.54
