First Financial Bankshares PE Ratio Historical Data,First Financial Bankshares PE Ratio Historical Data,First Financial Bankshares PE Ratio Historical Data,First Financial Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.65,,22.85
2024-12-31,36.05,$1.56,23.11
2024-09-30,36.85,$1.45,25.41
2024-06-30,29.25,$1.41,20.75
2024-03-31,32.29,$1.40,23.07
2023-12-31,29.64,$1.40,21.17
2023-09-30,24.43,$1.49,16.4
2023-06-30,27.53,$1.55,17.76
2023-03-31,30.64,$1.61,19.03
2022-12-31,32.87,$1.63,20.16
2022-09-30,39.77,$1.61,24.7
2022-06-30,37.19,$1.61,23.1
2022-03-31,41.6,$1.58,26.33
2021-12-31,47.78,$1.59,30.05
2021-09-30,43.06,$1.61,26.74
2021-06-30,45.88,$1.57,29.22
2021-03-31,43.51,$1.56,27.89
2020-12-31,33.6,$1.42,23.66
2020-09-30,25.83,$1.31,19.72
2020-06-30,26.62,$1.26,21.12
2020-03-31,24.62,$1.19,20.69
2019-12-31,32.05,$1.21,26.49
2019-09-30,30.33,$1.19,25.49
2019-06-30,27.92,$1.17,23.97
2019-03-31,26.09,$1.13,23.09
2018-12-31,25.96,$1.11,23.49
2018-09-30,26.5,$1.10,24.2
2018-06-30,22.75,$1.02,22.3
2018-03-31,20.61,$0.96,21.47
2017-12-31,19.98,$0.91,22.07
2017-09-30,19.96,$0.84,23.9
2017-06-30,19.42,$0.81,23.98
2017-03-31,17.54,$0.80,21.93
2016-12-31,19.69,$0.80,24.77
2016-09-30,15.81,$0.79,20.14
2016-06-30,14.16,$0.79,17.92
2016-03-31,12.7,$0.78,16.28
2015-12-31,12.88,$0.77,16.73
2015-09-30,13.5,$0.76,17.88
2015-06-30,14.64,$0.74,19.92
2015-03-31,11.62,$0.71,16.49
2014-12-31,12.5,$0.70,17.99
2014-09-30,11.57,$0.69,16.9
2014-06-30,13.0,$0.66,19.78
2014-03-31,12.75,$0.65,19.77
2013-12-31,13.58,$0.62,22.0
2013-09-30,12.04,$0.60,20.15
2013-06-30,11.34,$0.60,18.82
2013-03-31,9.85,$0.60,16.56
2012-12-31,7.87,$0.59,13.39
2012-09-30,7.22,$0.58,12.45
2012-06-30,6.88,$0.57,12.17
2012-03-31,6.95,$0.55,12.64
2011-12-31,6.56,$0.54,12.14
2011-09-30,5.09,$0.53,9.65
2011-06-30,6.65,$0.52,12.91
2011-03-31,6.56,$0.50,13.12
2010-12-31,6.5,$0.48,13.54
2010-09-30,5.92,$0.46,13.01
2010-06-30,6.01,$0.44,13.83
2010-03-31,6.41,$0.43,14.95
2009-12-31,6.69,$0.43,15.63
