Banco Santander Brasil SA PE Ratio Historical Data,Banco Santander Brasil SA PE Ratio Historical Data,Banco Santander Brasil SA PE Ratio Historical Data,Banco Santander Brasil SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.76,,inf
2024-12-31,3.91,0,0.0
2024-09-30,5.2,0,0.0
2024-06-30,4.82,0,0.0
2024-03-31,5.49,0,0.0
2023-09-30,4.78,0,0.0
2023-06-30,5.86,0,0.0
2022-09-30,4.96,$0.17,29.18
2022-06-30,4.76,$0.26,18.3
2022-03-31,6.58,$0.31,21.24
2021-12-31,4.47,$0.40,11.17
2021-09-30,5.32,$0.41,12.98
2021-06-30,6.52,$0.51,12.78
2021-03-31,5.49,$0.56,9.8
2020-12-31,6.68,$0.58,11.51
2020-09-30,3.78,$0.75,5.05
2020-06-30,3.97,$0.83,4.79
2020-03-31,3.89,$0.96,4.06
2019-12-31,8.75,$1.10,7.95
2019-09-30,7.8,$1.00,7.8
2019-06-30,8.46,$0.94,9.0
2019-03-31,7.96,$0.92,8.65
2018-12-31,7.88,$0.90,8.76
2018-09-30,6.22,$0.85,7.31
2018-06-30,5.26,$0.73,7.21
2018-03-31,8.4,$0.70,12.0
2017-12-31,6.5,$0.63,10.32
2017-09-30,5.85,$0.55,10.64
2017-06-30,5.02,$0.55,9.12
2017-03-31,5.85,$0.44,13.29
2016-12-31,5.69,$0.40,14.22
2016-09-30,4.29,$0.33,12.99
2016-06-30,3.62,$0.30,12.06
2016-03-31,2.95,$0.43,6.87
2015-12-31,2.33,$0.43,5.42
2015-09-30,1.89,$0.46,4.11
2015-06-30,3.09,$0.46,6.72
2015-03-31,2.5,$0.34,7.35
2014-12-31,2.81,$1.78,1.58
2014-09-30,3.65,$1.70,2.15
2014-06-30,3.83,$3.04,1.26
2014-03-31,3.07,$3.84,0.8
2013-12-31,3.3,$2.32,1.42
2013-09-30,3.73,$3.27,1.14
2013-06-30,3.3,$3.60,0.92
2013-03-31,3.83,$4.51,0.85
2012-12-31,3.84,$6.66,0.58
2012-09-30,3.8,$6.99,0.54
2012-06-30,3.93,$7.92,0.5
2012-03-31,4.62,$7.80,0.59
2011-12-31,4.1,$7.30,0.56
2011-09-30,3.64,$8.76,0.42
2011-06-30,5.78,$8.76,0.66
2011-03-31,5.93,$9.46,0.63
2010-12-31,6.52,$7.77,0.84
2010-09-30,6.48,$7.12,0.91
