PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.32,,12.43
2024-12-31,104.02,$7.91,13.15
2024-09-30,98.43,$8.95,11.0
2024-06-30,102.35,$9.44,10.84
2024-03-31,122.84,$9.64,12.74
2023-12-31,96.58,$8.77,11.01
2023-09-30,81.13,$7.83,10.36
2023-06-30,79.57,$6.96,11.43
2023-03-31,69.38,$6.01,11.54
2022-12-31,62.33,$5.76,10.82
2022-09-30,51.05,$4.98,10.25
2022-06-30,50.05,$4.23,11.84
2022-03-31,53.32,$3.79,14.08
2021-12-31,53.24,$3.54,15.04
2021-09-30,46.61,$3.34,13.96
2021-06-30,52.49,$3.36,15.62
2021-03-31,54.45,$2.71,20.12
2020-12-31,50.39,$2.49,20.21
2020-09-30,49.23,$2.73,18.01
2020-06-30,43.06,$3.16,13.63
2020-03-31,35.0,$4.06,8.62
2019-12-31,45.1,$4.58,9.85
2019-09-30,38.64,$4.66,8.29
2019-06-30,39.37,$4.53,8.7
2019-03-31,37.26,$4.40,8.47
2018-12-31,31.09,$4.16,7.47
2018-09-30,35.68,$4.17,8.55
2018-06-30,32.28,$3.90,8.28
2018-03-31,34.32,$3.55,9.68
2017-12-31,36.73,$3.17,11.6
2017-09-30,36.62,$2.60,14.08
2017-06-30,33.3,$2.49,13.36
2017-03-31,33.76,$2.70,12.5
2016-12-31,31.99,$0.99,32.42
2016-09-30,29.04,$1.09,26.57
2016-06-30,25.52,$1.25,20.47
2016-03-31,26.79,$1.17,22.84
2015-12-31,23.11,$3.01,7.69
2015-09-30,24.57,$3.09,7.94
2015-06-30,29.95,$2.98,10.05
2015-03-31,29.54,$2.74,10.78
2014-12-31,31.7,$2.55,12.45
2014-09-30,26.04,$2.39,10.91
2014-06-30,28.67,$2.27,12.61
2014-03-31,30.66,$2.22,13.81
2013-12-31,26.81,$2.15,12.45
2013-09-30,24.75,$2.05,12.05
2013-06-30,23.77,$1.91,12.42
2013-03-31,22.32,$1.92,11.62
2012-12-31,19.87,$2.08,9.55
2012-09-30,17.2,$2.21,7.79
2012-06-30,16.76,$2.28,7.35
2012-03-31,19.92,$2.16,9.22
2011-12-31,15.88,$1.91,8.33
2011-09-30,14.0,$1.61,8.71
2011-06-30,21.04,$1.31,16.02
2011-03-31,21.52,$1.06,20.3
2010-12-31,23.51,$0.83,28.21
2010-09-30,19.59,$0.61,31.94
2010-06-30,16.19,$0.42,38.54
2010-03-31,17.56,$0.29,61.24
2009-12-31,14.66,$0.21,70.9
