Microvast Holdings PE Ratio Historical Data,Microvast Holdings PE Ratio Historical Data,Microvast Holdings PE Ratio Historical Data,Microvast Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.32,,0.0
2024-09-30,0.25,$-0.38,0.0
2024-06-30,0.46,$-0.49,0.0
2024-03-31,0.84,$-0.32,0.0
2023-12-31,1.4,$-0.34,0.0
2023-09-30,1.89,$-0.37,0.0
2023-06-30,1.6,$-0.41,0.0
2023-03-31,1.24,$-0.48,0.0
2022-12-31,1.53,$-0.53,0.0
2022-09-30,1.81,$-0.42,0.0
2022-06-30,2.22,$-0.79,0.0
2022-03-31,6.7,$-0.64,0.0
2021-12-31,5.66,$-0.49,0.0
2021-09-30,8.22,$-0.49,0.0
2021-06-30,13.63,0,0.0
2021-03-31,12.3,$0.02,615.0
2020-12-31,17.1,0,0.0
2020-09-30,10.18,0,0.0
2020-06-30,10.23,0,0.0
2020-03-31,9.97,$-0.02,0.0
2019-12-31,9.96,0,0.0
