Lesaka Technologies PE Ratio Historical Data,Lesaka Technologies PE Ratio Historical Data,Lesaka Technologies PE Ratio Historical Data,Lesaka Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.63,,0.0
2024-12-31,5.45,$-0.61,0.0
2024-09-30,5.0,$-0.25,0.0
2024-06-30,4.68,$-0.27,0.0
2024-03-31,3.75,$-0.38,0.0
2023-12-31,3.24,$-0.41,0.0
2023-09-30,3.9,$-0.48,0.0
2023-06-30,3.81,$-0.56,0.0
2023-03-31,4.8,$-0.62,0.0
2022-12-31,4.55,$-0.59,0.0
2022-09-30,3.52,$-0.70,0.0
2022-06-30,5.14,$-0.76,0.0
2022-03-31,5.87,$-0.48,0.0
2021-12-31,5.32,$-0.53,0.0
2021-09-30,4.65,$-0.39,0.0
2021-06-30,4.71,$-0.67,0.0
2021-03-31,5.6,$-1.39,0.0
2020-12-31,4.92,$-1.89,0.0
2020-09-30,3.37,$-1.81,0.0
2020-06-30,3.04,$-1.38,0.0
2020-03-31,2.91,$-3.32,0.0
2019-12-31,3.72,$-3.67,0.0
2019-09-30,3.57,$-4.79,0.0
2019-06-30,4.0,$-4.80,0.0
2019-03-31,3.59,$-2.05,0.0
2018-12-31,4.69,$-1.04,0.0
2018-09-30,8.0,$0.25,32.0
2018-06-30,9.08,$0.68,13.35
2018-03-31,9.46,$0.76,12.45
2017-12-31,11.89,$1.05,11.32
2017-09-30,9.74,$1.23,7.92
2017-06-30,9.86,$1.35,7.3
2017-03-31,12.23,$1.63,7.5
2016-12-31,11.48,$1.69,6.79
2016-09-30,8.56,$1.69,5.07
2016-06-30,9.99,$1.72,5.81
2016-03-31,9.2,$1.75,5.26
2015-12-31,13.51,$1.87,7.22
2015-09-30,16.74,$2.00,8.37
2015-06-30,18.28,$2.02,9.05
2015-03-31,13.68,$2.10,6.51
2014-12-31,11.4,$1.95,5.85
2014-09-30,12.05,$1.75,6.89
2014-06-30,11.38,$1.49,7.64
2014-03-31,9.96,$1.08,9.22
2013-12-31,8.73,$0.61,14.31
2013-09-30,12.0,$0.39,30.76
2013-06-30,7.36,$0.29,25.38
2013-03-31,7.4,$-0.06,0.0
2012-12-31,5.11,$0.21,24.33
2012-09-30,9.05,$0.71,12.75
2012-06-30,8.37,$1.00,8.37
2012-03-31,9.04,$1.32,6.85
2011-12-31,7.67,$0.68,11.28
2011-09-30,6.5,$0.34,19.12
2011-06-30,8.68,$0.06,144.67
2011-03-31,8.6,$-0.46,0.0
2010-12-31,12.26,$0.42,29.19
2010-09-30,11.56,$0.62,18.65
2010-06-30,13.41,$0.83,16.16
2010-03-31,18.39,$1.53,12.02
2009-12-31,19.4,$1.38,14.06
