Standex PE Ratio Historical Data,Standex PE Ratio Historical Data,Standex PE Ratio Historical Data,Standex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,169.04,,36.91
2024-12-31,186.99,$4.58,40.83
2024-09-30,182.5,$6.10,29.92
2024-06-30,160.62,$6.15,26.12
2024-03-31,181.31,$6.18,29.34
2023-12-31,157.29,$11.62,13.54
2023-09-30,144.68,$11.72,12.35
2023-06-30,140.25,$11.67,12.02
2023-03-31,121.14,$11.09,10.92
2022-12-31,101.08,$5.75,17.58
2022-09-30,80.36,$5.29,15.19
2022-06-30,83.22,$5.06,16.45
2022-03-31,97.8,$5.10,19.18
2021-12-31,108.05,$3.78,28.58
2021-09-30,96.36,$3.48,27.69
2021-06-30,92.22,$2.97,31.05
2021-03-31,92.64,$1.98,46.79
2020-12-31,74.95,$1.36,55.11
2020-09-30,57.05,$1.42,40.18
2020-06-30,55.24,$1.63,33.89
2020-03-31,46.84,$2.47,18.97
2019-12-31,75.59,$5.07,14.91
2019-09-30,69.29,$5.13,13.51
2019-06-30,69.26,$5.37,12.9
2019-03-31,69.31,$5.37,12.91
2018-12-31,63.27,$4.28,14.78
2018-09-30,97.94,$3.01,32.54
2018-06-30,95.85,$2.87,33.4
2018-03-31,89.26,$2.99,29.85
2017-12-31,95.17,$2.59,36.75
2017-09-30,99.06,$3.61,27.44
2017-06-30,84.46,$3.60,23.46
2017-03-31,93.09,$3.44,27.06
2016-12-31,81.52,$3.75,21.74
2016-09-30,86.0,$3.91,21.99
2016-06-30,76.39,$4.07,18.77
2016-03-31,71.81,$4.40,16.32
2015-12-31,76.58,$4.48,17.09
2015-09-30,69.29,$4.39,15.78
2015-06-30,73.38,$4.27,17.19
2015-03-31,75.29,$3.78,19.92
2014-12-31,70.7,$3.83,18.46
2014-09-30,67.75,$3.78,17.92
2014-06-30,67.96,$3.36,20.23
2014-03-31,48.82,$3.55,13.75
2013-12-31,57.19,$3.26,17.54
2013-09-30,53.94,$3.30,16.35
2013-06-30,47.84,$3.51,13.63
2013-03-31,50.0,$3.62,13.81
2012-12-31,46.38,$3.58,12.95
2012-09-30,40.12,$2.40,16.72
2012-06-30,38.36,$2.42,15.85
2012-03-31,37.06,$2.14,17.32
2011-12-31,30.7,$1.83,16.77
2011-09-30,27.91,$2.86,9.76
2011-06-30,27.45,$2.78,9.87
2011-03-31,33.85,$2.63,12.87
2010-12-31,26.67,$2.59,10.3
2010-09-30,21.52,$2.35,9.16
2010-06-30,22.52,$2.27,9.92
2010-03-31,22.84,$2.06,11.09
2009-12-31,17.77,$0.22,80.77
