Greenpro Capital PE Ratio Historical Data,Greenpro Capital PE Ratio Historical Data,Greenpro Capital PE Ratio Historical Data,Greenpro Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.91,,0.0
2024-09-30,0.97,$-0.86,0.0
2024-06-30,1.06,$-0.84,0.0
2024-03-31,1.4,$0.09,15.54
2023-12-31,1.18,$0.13,9.08
2023-09-30,1.0,$0.35,2.86
2023-06-30,1.82,$0.30,6.07
2023-03-31,1.49,$-0.57,0.0
2022-12-31,1.08,$-0.67,0.0
2022-09-30,1.35,$-0.28,0.0
2022-06-30,2.14,$-1.11,0.0
2022-03-31,4.4,$-1.20,0.0
2021-12-31,6.19,$-2.10,0.0
2021-09-30,6.22,$-2.50,0.0
2021-06-30,13.2,$-1.70,0.0
2021-03-31,25.9,$-1.70,0.0
2020-12-31,20.5,$-0.70,0.0
2020-09-30,14.5,$-0.20,0.0
2020-06-30,16.6,$-0.10,0.0
2020-03-31,3.76,0,0.0
2019-12-31,5.7,$-0.10,0.0
2019-09-30,9.76,$-1.50,0.0
2019-06-30,11.5,$-1.50,0.0
2019-03-31,20.2,$-1.60,0.0
