HireQuest PE Ratio Historical Data,HireQuest PE Ratio Historical Data,HireQuest PE Ratio Historical Data,HireQuest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.21,,120.09
2024-09-30,14.11,$0.11,128.24
2024-06-30,12.25,$0.38,32.24
2024-03-31,12.79,$0.38,33.65
2023-12-31,15.09,$0.45,33.53
2023-09-30,15.11,$0.65,23.24
2023-06-30,25.4,$0.85,29.89
2023-03-31,21.0,$1.06,19.81
2022-12-31,15.35,$0.91,16.87
2022-09-30,12.48,$0.87,14.35
2022-06-30,13.57,$0.79,17.18
2022-03-31,18.35,$0.63,29.13
2021-12-31,19.29,$0.86,22.42
2021-09-30,18.44,$0.80,23.05
2021-06-30,17.6,$0.72,24.45
2021-03-31,16.35,$0.61,26.8
2020-12-31,9.65,$0.40,24.13
2020-09-30,7.15,$0.56,12.77
2020-06-30,5.78,$-0.19,0.0
2020-03-31,5.57,$-0.19,0.0
2019-12-31,6.62,$-0.41,0.0
2019-09-30,6.71,$-0.44,0.0
2019-06-30,5.24,$0.27,19.42
2019-03-31,3.67,$0.29,12.64
