ProAssurance PE Ratio Historical Data,ProAssurance PE Ratio Historical Data,ProAssurance PE Ratio Historical Data,ProAssurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.02,,22.57
2024-12-31,15.91,$1.02,15.6
2024-09-30,15.04,$0.83,18.12
2024-06-30,12.22,$-0.44,0.0
2024-03-31,12.86,$-0.54,0.0
2023-12-31,13.79,$-0.74,0.0
2023-09-30,18.89,$-0.60,0.0
2023-06-30,15.09,$0.18,83.83
2023-03-31,18.48,$-0.05,0.0
2022-12-31,17.42,$-0.01,0.0
2022-09-30,19.4,$0.32,60.63
2022-06-30,23.44,$0.72,32.55
2022-03-31,26.6,$2.45,10.86
2021-12-31,24.99,$2.66,9.39
2021-09-30,23.44,$2.34,10.02
2021-06-30,22.37,$-0.67,0.0
2021-03-31,26.26,$-2.71,0.0
2020-12-31,17.42,$-3.26,0.0
2020-09-30,15.28,$-4.63,0.0
2020-06-30,14.08,$-1.53,0.0
2020-03-31,24.25,$-0.98,0.0
2019-12-31,34.63,$0.02,1731.67
2019-09-30,38.26,$0.66,57.97
2019-06-30,34.05,$0.92,37.01
2019-03-31,32.37,$1.24,26.1
2018-12-31,37.6,$0.87,43.22
2018-09-30,42.61,$1.65,25.83
2018-06-30,31.96,$1.61,19.85
2018-03-31,43.4,$1.44,30.14
2017-12-31,50.76,$1.99,25.51
2017-09-30,44.61,$2.69,16.58
2017-06-30,49.35,$2.78,17.75
2017-03-31,48.65,$3.23,15.06
2016-12-31,45.15,$2.82,16.01
2016-09-30,38.76,$2.45,15.82
2016-06-30,39.31,$2.01,19.56
2016-03-31,36.92,$1.80,20.51
2015-12-31,35.19,$2.11,16.68
2015-09-30,34.65,$2.58,13.43
2015-06-30,32.42,$2.98,10.88
2015-03-31,32.0,$3.22,9.94
2014-12-31,31.26,$3.31,9.44
2014-09-30,28.61,$3.33,8.59
2014-06-30,28.64,$3.76,7.62
2014-03-31,28.53,$3.73,7.65
2013-12-31,30.85,$4.79,6.44
2013-09-30,28.49,$5.29,5.39
2013-06-30,32.8,$5.24,6.26
2013-03-31,29.62,$5.38,5.51
2012-12-31,26.12,$4.46,5.86
2012-09-30,26.32,$5.10,5.17
2012-06-30,25.85,$4.84,5.35
2012-03-31,25.49,$4.79,5.32
2011-12-31,23.03,$4.67,4.93
2011-09-30,20.71,$4.03,5.14
2011-06-30,20.06,$4.13,4.86
2011-03-31,18.16,$3.86,4.71
2010-12-31,17.37,$3.66,4.75
2010-09-30,16.51,$3.31,4.99
2010-06-30,16.27,$3.34,4.87
2010-03-31,16.78,$3.52,4.77
2009-12-31,15.39,$3.36,4.58
