Children's Place PE Ratio Historical Data,Children's Place PE Ratio Historical Data,Children's Place PE Ratio Historical Data,Children's Place PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.25,,0.0
2024-10-31,13.91,$-14.19,0.0
2024-07-31,7.82,$-12.71,0.0
2024-04-30,6.96,$-13.02,0.0
2024-01-31,22.28,$-12.36,0.0
2023-10-31,27.37,$-6.20,0.0
2023-07-31,31.44,$-5.99,0.0
2023-04-30,29.64,$-4.18,0.0
2023-01-31,45.37,$-0.42,0.0
2022-10-31,40.48,$6.36,6.36
2022-07-31,43.34,$8.40,5.16
2022-04-30,46.33,$11.01,4.21
2022-01-31,70.75,$12.59,5.62
2021-10-31,82.89,$10.44,7.94
2021-07-31,84.33,$6.05,13.94
2021-04-30,78.35,$1.26,62.18
2021-01-31,73.47,$-9.61,0.0
2020-10-31,25.27,$-8.53,0.0
2020-07-31,24.41,$-6.67,0.0
2020-04-30,29.56,$-3.38,0.0
2020-01-31,59.67,$4.76,12.54
2019-10-31,81.07,$3.89,20.84
2019-07-31,95.97,$4.15,23.13
2019-04-30,110.22,$4.50,24.49
2019-01-31,94.03,$6.00,15.67
2018-10-31,144.41,$4.69,30.79
2018-07-31,118.37,$4.10,28.87
2018-04-30,122.39,$4.44,27.57
2018-01-31,143.2,$4.63,30.93
2017-10-31,103.7,$7.06,14.69
2017-07-31,100.34,$6.98,14.38
2017-04-30,108.63,$6.08,17.87
2017-01-31,91.46,$5.44,16.81
2016-10-31,71.48,$4.45,16.06
2016-07-31,78.46,$3.97,19.76
2016-04-30,72.94,$3.41,21.39
2016-01-31,60.79,$2.81,21.63
2015-10-31,49.98,$2.73,18.31
2015-07-31,53.78,$2.55,21.09
2015-04-30,56.21,$2.73,20.59
2015-01-31,55.43,$2.61,21.24
2014-10-31,45.43,$2.51,18.1
2014-07-31,46.17,$2.65,17.42
2014-04-30,44.04,$2.09,21.07
2014-01-31,48.2,$2.31,20.87
2013-10-31,49.96,$2.42,20.64
2013-07-31,49.45,$2.02,24.48
2013-04-30,44.77,$2.33,19.21
2013-01-31,45.61,$2.46,18.54
2012-10-31,53.47,$2.63,20.33
2012-07-31,46.49,$2.52,18.45
2012-04-30,42.08,$2.88,14.61
2012-01-31,45.66,$3.02,15.12
2011-10-31,42.97,$3.27,13.14
2011-07-31,44.22,$3.09,14.31
2011-04-30,48.66,$3.17,15.35
2011-01-31,38.33,$3.07,12.49
2010-10-31,40.32,$3.08,13.09
2010-07-31,38.3,$3.30,11.61
2010-04-30,41.93,$3.36,12.48
2010-01-31,29.1,$3.15,9.24
2009-10-31,28.78,$3.23,8.91
