Fuel Tech PE Ratio Historical Data,Fuel Tech PE Ratio Historical Data,Fuel Tech PE Ratio Historical Data,Fuel Tech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.98,,0.0
2024-12-31,1.05,$-0.06,0.0
2024-09-30,1.05,$-0.02,0.0
2024-06-30,1.07,$-0.01,0.0
2024-03-31,1.21,$-0.03,0.0
2023-12-31,1.05,$-0.05,0.0
2023-09-30,1.18,$-0.04,0.0
2023-06-30,1.33,$-0.04,0.0
2023-03-31,1.28,$-0.02,0.0
2022-12-31,1.28,$-0.04,0.0
2022-09-30,1.17,$-0.04,0.0
2022-06-30,1.24,$-0.03,0.0
2022-03-31,1.45,$-0.05,0.0
2021-12-31,1.4,$-0.01,0.0
2021-09-30,1.74,$-0.07,0.0
2021-06-30,2.35,$-0.00,0.0
2021-03-31,3.14,$-0.07,0.0
2020-12-31,3.88,$-0.18,0.0
2020-09-30,0.84,$-0.29,0.0
2020-06-30,0.84,$-0.43,0.0
2020-03-31,0.4,$-0.37,0.0
2019-12-31,0.95,$-0.32,0.0
2019-09-30,0.99,$-0.10,0.0
2019-06-30,1.4,$-0.01,0.0
2019-03-31,1.67,$-0.04,0.0
2018-12-31,1.19,0,0.0
2018-09-30,1.3,$-0.09,0.0
2018-06-30,1.08,$-0.15,0.0
2018-03-31,1.2,$-0.37,0.0
2017-12-31,1.12,$-0.47,0.0
2017-09-30,1.02,$-0.81,0.0
2017-06-30,0.79,$-0.92,0.0
2017-03-31,1.02,$-0.74,0.0
2016-12-31,1.15,$-0.74,0.0
2016-09-30,1.4,$-0.74,0.0
2016-06-30,1.48,$-0.62,0.0
2016-03-31,1.75,$-0.57,0.0
2015-12-31,1.89,$-0.53,0.0
2015-09-30,1.91,$-0.89,0.0
2015-06-30,2.19,$-0.83,0.0
2015-03-31,3.13,$-0.80,0.0
2014-12-31,3.83,$-0.78,0.0
2014-09-30,4.25,$-0.01,0.0
2014-06-30,5.64,$0.09,62.67
2014-03-31,5.0,$0.17,29.41
2013-12-31,7.09,$0.22,32.23
2013-09-30,4.36,$0.20,21.8
2013-06-30,3.83,$0.10,38.3
2013-03-31,4.32,$0.05,86.4
2012-12-31,4.2,$0.11,38.18
2012-09-30,4.17,$0.18,23.17
2012-06-30,4.88,$0.24,20.33
2012-03-31,5.46,$0.26,21.0
2011-12-31,6.58,$0.25,26.32
2011-09-30,5.82,$0.22,26.45
2011-06-30,6.63,$0.14,47.36
2011-03-31,8.9,$0.11,80.91
2010-12-31,9.71,$0.07,138.71
2010-09-30,6.27,$0.04,156.75
2010-06-30,6.32,$-0.02,0.0
2010-03-31,8.02,$-0.02,0.0
2009-12-31,8.17,$-0.09,0.0
