Nathan's Famous PE Ratio Historical Data,Nathan's Famous PE Ratio Historical Data,Nathan's Famous PE Ratio Historical Data,Nathan's Famous PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,93.59,,16.14
2024-12-31,78.61,$5.80,13.55
2024-09-30,80.42,$5.34,15.06
2024-06-30,66.95,$5.27,12.7
2024-03-31,69.42,$4.81,14.43
2023-12-31,75.93,$4.65,16.33
2023-09-30,68.27,$4.80,14.22
2023-06-30,75.36,$4.86,15.51
2023-03-31,72.09,$4.79,15.05
2022-12-31,63.69,$4.51,14.12
2022-09-30,59.91,$4.24,14.13
2022-06-30,54.74,$3.64,15.04
2022-03-31,50.19,$3.30,15.21
2021-12-31,53.67,$3.28,16.36
2021-09-30,55.91,$3.09,18.09
2021-06-30,64.85,$3.12,20.79
2021-03-31,57.08,$2.69,21.22
2020-12-31,49.67,$2.95,16.84
2020-09-30,45.83,$2.91,15.75
2020-06-30,49.96,$2.89,17.29
2020-03-31,53.88,$3.20,16.84
2019-12-31,62.27,$3.03,20.55
2019-09-30,62.84,$5.04,12.47
2019-06-30,67.96,$5.23,12.99
2019-03-31,59.2,$5.08,11.65
2018-12-31,57.31,$4.58,12.51
2018-09-30,70.82,$1.38,51.32
2018-06-30,80.65,$1.06,76.08
2018-03-31,63.17,$0.62,101.88
2017-12-31,64.54,$0.70,92.19
2017-09-30,59.38,$1.77,33.55
2017-06-30,50.59,$1.63,31.03
2017-03-31,50.3,$1.79,28.1
2016-12-31,52.11,$1.74,29.95
2016-09-30,42.19,$1.67,25.26
2016-06-30,35.73,$1.71,20.9
2016-03-31,35.01,$1.36,25.74
2015-12-31,41.4,$1.58,26.2
2015-09-30,30.53,$1.97,15.5
2015-06-30,29.76,$2.17,13.71
2015-03-31,43.48,$2.56,16.98
2014-12-31,43.3,$2.49,17.39
2014-09-30,36.64,$2.24,16.36
2014-06-30,29.33,$1.97,14.89
2014-03-31,26.51,$1.81,14.65
2013-12-31,27.28,$1.88,14.51
2013-09-30,28.57,$1.87,15.28
2013-06-30,28.28,$1.92,14.73
2013-03-31,22.87,$1.63,14.03
2012-12-31,18.24,$1.52,12.0
2012-09-30,17.02,$1.53,11.13
2012-06-30,15.97,$1.35,11.83
2012-03-31,11.47,$1.22,9.41
2011-12-31,11.38,$1.10,10.34
2011-09-30,10.28,$0.83,12.39
2011-06-30,10.22,$0.42,24.34
2011-03-31,9.27,$0.40,23.18
2010-12-31,9.12,$0.43,21.21
2010-09-30,8.63,$0.65,13.27
2010-06-30,8.41,$1.01,8.33
2010-03-31,8.38,$0.99,8.47
2009-12-31,8.26,$1.01,8.18
