Zhihu PE Ratio Historical Data,Zhihu PE Ratio Historical Data,Zhihu PE Ratio Historical Data,Zhihu PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.47,,0.0
2024-09-30,3.85,$-0.56,0.0
2024-06-30,2.73,$-0.90,0.0
2024-03-31,0.68,$-1.14,0.0
2023-12-31,0.94,$-1.14,0.0
2023-09-30,1.04,$-1.20,0.0
2023-06-30,1.13,$-1.26,0.0
2023-03-31,1.27,$-1.62,0.0
2022-12-31,1.3,$-2.34,0.0
2022-09-30,1.06,$-2.70,0.0
2022-06-30,1.79,$-2.70,0.0
2022-03-31,2.42,$-2.46,0.0
2021-12-31,5.54,$-4.68,0.0
