MainStreet Bank PE Ratio Historical Data,MainStreet Bank PE Ratio Historical Data,MainStreet Bank PE Ratio Historical Data,MainStreet Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.25,,0.0
2024-12-31,18.1,$-1.61,0.0
2024-09-30,18.35,$1.20,15.29
2024-06-30,17.52,$2.01,8.72
2024-03-31,17.84,$2.59,6.89
2023-12-31,24.24,$3.24,7.48
2023-09-30,19.97,$3.58,5.58
2023-06-30,21.94,$3.78,5.81
2023-03-31,22.63,$3.64,6.22
2022-12-31,26.4,$3.27,8.07
2022-09-30,21.82,$2.88,7.58
2022-06-30,21.74,$2.47,8.8
2022-03-31,23.16,$2.63,8.81
2021-12-31,23.38,$2.64,8.86
2021-09-30,22.81,$3.00,7.6
2021-06-30,21.47,$3.07,6.99
2021-03-31,19.74,$2.12,9.31
2020-12-31,16.08,$1.89,8.51
2020-09-30,11.64,$1.40,8.31
2020-06-30,12.55,$1.22,10.29
2020-03-31,15.94,$1.72,9.27
