San Juan Basin Royalty Trust PE Ratio Historical Data,San Juan Basin Royalty Trust PE Ratio Historical Data,San Juan Basin Royalty Trust PE Ratio Historical Data,San Juan Basin Royalty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.28,,27.79
2024-09-30,3.7,$0.19,19.47
2024-06-30,4.06,$0.27,15.04
2024-03-31,5.26,$0.42,12.53
2023-12-31,4.97,$1.10,4.52
2023-09-30,6.7,$1.02,6.57
2023-06-30,7.1,$1.39,5.11
2023-03-31,9.84,$1.51,6.51
2022-12-31,9.93,$1.05,9.46
2022-09-30,7.73,$1.05,7.36
2022-06-30,6.87,$0.72,9.54
2022-03-31,6.76,$0.58,11.65
2021-12-31,4.5,$0.44,10.23
2021-09-30,3.56,$0.44,8.09
2021-06-30,3.53,$0.32,11.04
2021-03-31,2.64,$0.18,14.67
2020-12-31,1.71,$0.11,15.52
2020-09-30,1.58,$0.11,14.39
2020-06-30,1.44,$0.11,13.07
2020-03-31,1.32,$0.14,9.42
2019-12-31,1.53,$0.17,8.98
2019-09-30,1.81,$0.17,10.67
2019-06-30,2.3,$0.23,10.01
2019-03-31,3.19,$0.24,13.31
2018-12-31,2.78,$0.24,11.6
2018-09-30,2.82,$0.24,11.76
2018-06-30,3.26,$0.50,6.52
2018-03-31,4.41,$0.58,7.61
2017-12-31,4.53,$0.62,7.31
2017-09-30,4.2,$0.78,5.38
2017-06-30,3.5,$0.55,6.36
2017-03-31,3.65,$0.43,8.5
2016-12-31,3.26,$0.30,10.86
2016-09-30,2.83,$0.22,12.87
2016-06-30,3.44,$0.24,14.34
2016-03-31,2.43,$0.26,9.36
2015-12-31,1.94,$0.37,5.25
2015-09-30,4.38,$0.56,7.82
2015-06-30,4.92,$0.79,6.22
2015-03-31,5.46,$1.14,4.79
2014-12-31,6.44,$1.29,4.99
2014-09-30,8.44,$1.32,6.4
2014-06-30,8.42,$1.27,6.63
2014-03-31,7.55,$1.01,7.48
2013-12-31,7.04,$0.78,9.02
2013-09-30,6.6,$0.56,11.78
2013-06-30,6.51,$0.37,17.61
2013-03-31,6.09,$0.47,12.97
2012-12-31,5.37,$0.71,7.57
2012-09-30,5.65,$1.04,5.43
2012-06-30,5.93,$1.32,4.49
2012-03-31,7.57,$1.44,5.25
2011-12-31,8.74,$1.45,6.03
2011-09-30,8.67,$1.39,6.23
2011-06-30,8.95,$1.41,6.35
2011-03-31,10.09,$1.54,6.55
2010-12-31,8.51,$1.68,5.07
2010-09-30,8.81,$1.60,5.51
2010-06-30,8.56,$1.35,6.34
2010-03-31,7.16,$0.92,7.79
2009-12-31,5.79,$0.65,8.91
