EHealth PE Ratio Historical Data,EHealth PE Ratio Historical Data,EHealth PE Ratio Historical Data,EHealth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.4,,0.0
2024-12-31,9.4,$-1.61,0.0
2024-09-30,4.08,$-2.85,0.0
2024-06-30,4.53,$-2.70,0.0
2024-03-31,6.03,$-2.55,0.0
2023-12-31,8.72,$-2.60,0.0
2023-09-30,7.4,$-3.46,0.0
2023-06-30,8.04,$-3.50,0.0
2023-03-31,9.36,$-3.97,0.0
2022-12-31,4.84,$-4.42,0.0
2022-09-30,3.91,$-6.28,0.0
2022-06-30,9.33,$-6.80,0.0
2022-03-31,12.41,$-6.01,0.0
2021-12-31,25.5,$-4.58,0.0
2021-09-30,40.5,$-0.93,0.0
2021-06-30,58.4,$0.76,76.84
2021-03-31,72.73,$1.49,48.81
2020-12-31,70.61,$1.65,42.79
2020-09-30,79.0,$3.03,26.07
2020-06-30,98.24,$3.11,31.59
2020-03-31,140.82,$2.99,47.1
2019-12-31,96.08,$2.62,36.67
2019-09-30,66.79,$0.29,230.31
2019-06-30,86.1,$0.29,296.9
2019-03-31,62.34,$-0.09,0.0
2018-12-31,38.42,$-0.11,0.0
2018-09-30,28.26,$-2.48,0.0
2018-06-30,22.1,$-3.12,0.0
2018-03-31,14.31,$-3.42,0.0
2017-12-31,17.37,$-1.36,0.0
2017-09-30,23.89,$-1.15,0.0
2017-06-30,18.8,$-0.35,0.0
2017-03-31,12.04,$0.55,21.89
2016-12-31,10.65,$-0.26,0.0
2016-09-30,11.21,$-0.02,0.0
2016-06-30,14.02,$0.49,28.61
2016-03-31,9.39,$0.84,11.18
2015-12-31,9.98,$-0.27,0.0
2015-09-30,12.81,$-0.68,0.0
2015-06-30,12.69,$-0.80,0.0
2015-03-31,9.38,$-0.97,0.0
2014-12-31,24.92,$-0.93,0.0
2014-09-30,24.13,$0.04,603.25
2014-06-30,37.97,$-0.03,0.0
2014-03-31,50.8,$-0.12,0.0
2013-12-31,46.49,$0.07,664.14
2013-09-30,32.26,$0.29,111.24
2013-06-30,22.72,$0.29,78.34
2013-03-31,17.88,$0.34,52.59
2012-12-31,27.48,$0.33,83.27
2012-09-30,18.77,$0.33,56.88
2012-06-30,16.11,$0.31,51.97
2012-03-31,16.31,$0.32,50.97
2011-12-31,14.7,$0.31,47.42
2011-09-30,13.66,$0.58,23.55
2011-06-30,13.36,$0.70,19.09
2011-03-31,13.29,$0.71,18.72
2010-12-31,14.19,$0.75,18.92
2010-09-30,12.91,$0.57,22.65
2010-06-30,11.37,$0.60,18.95
2010-03-31,15.75,$0.63,25.0
2009-12-31,16.43,$0.62,26.5
