Globus Maritime PE Ratio Historical Data,Globus Maritime PE Ratio Historical Data,Globus Maritime PE Ratio Historical Data,Globus Maritime PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.25,,10.42
2024-12-31,1.17,$0.12,9.75
2024-09-30,1.92,$0.14,13.71
2024-06-30,1.88,$0.34,5.53
2024-03-31,2.2,$0.12,18.33
2023-12-31,2.65,$0.26,10.19
2023-09-30,1.84,$0.09,20.44
2023-06-30,0.9,$0.13,6.9
2023-03-31,1.12,$0.19,5.89
2022-12-31,1.05,$0.65,1.62
2022-09-30,1.26,$1.44,0.88
2022-06-30,1.75,$1.50,1.17
2022-03-31,2.31,$1.50,1.54
2021-12-31,2.1,$0.80,2.63
2021-09-30,2.92,$-38.84,0.0
2021-06-30,3.88,$-194.11,0.0
2021-03-31,4.7,$-268.11,0.0
2020-06-30,26.7,$-283.00,0.0
2020-03-31,60.51,$-274.00,0.0
2019-06-30,230.0,$-169.00,0.0
2019-03-31,327.0,$-145.00,0.0
2018-06-30,504.7,$-270.00,0.0
2018-03-31,741.0,"$-1,310.00",0.0
2017-09-30,920.0,"$-1,260.00",0.0
2017-03-31,4650.0,"$-7,650.00",0.0
2016-09-30,2880.0,"$-8,470.00",0.0
2016-03-31,880.0,"$-11,440.00",0.0
2015-12-31,580.0,"$-12,800.00",0.0
2015-09-30,3960.0,"$-5,160.00",0.0
2015-06-30,4560.0,"$-4,120.00",0.0
2015-03-31,4840.0,$-640.00,0.0
2014-12-31,9600.0,"$1,160.00",8.28
2014-09-30,13505.2,"$1,560.00",8.66
2014-06-30,13960.0,"$1,960.00",7.12
2014-03-31,17400.0,"$2,000.00",8.7
2013-12-31,15840.4,"$2,080.00",7.62
2013-09-30,12000.0,"$-31,520.00",0.0
2013-06-30,8000.0,"$-32,360.00",0.0
2013-03-31,9960.0,"$-32,920.00",0.0
2012-12-31,6748.0,"$-32,800.00",0.0
2012-09-30,9000.0,$120.00,75.0
2012-06-30,12800.0,$960.00,13.33
2012-03-31,19881.37,"$2,680.00",7.42
2011-12-31,12573.65,"$3,240.00",3.88
2011-09-30,19083.56,"$2,320.00",8.23
2011-06-30,29285.92,"$3,120.00",9.39
2011-03-31,31925.67,"$2,840.00",11.24
2010-12-31,31580.5,"$1,640.00",19.26
2010-09-30,24089.12,"$1,640.00",14.69
