Glacier Bancorp PE Ratio Historical Data,Glacier Bancorp PE Ratio Historical Data,Glacier Bancorp PE Ratio Historical Data,Glacier Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.51,,26.65
2024-12-31,50.22,$1.67,30.07
2024-09-30,45.1,$1.62,27.84
2024-06-30,36.5,$1.64,22.26
2024-03-31,39.06,$1.75,22.32
2023-12-31,40.07,$2.01,19.94
2023-09-30,27.09,$2.24,12.09
2023-06-30,29.31,$2.49,11.77
2023-03-31,39.18,$2.68,14.62
2022-12-31,46.09,$2.74,16.82
2022-09-30,45.25,$2.48,18.25
2022-06-30,43.38,$2.55,17.01
2022-03-31,45.67,$2.67,17.11
2021-12-31,51.42,$2.91,17.67
2021-09-30,49.63,$3.31,14.99
2021-06-30,49.1,$3.33,14.74
2021-03-31,50.62,$3.18,15.92
2020-12-31,40.68,$2.79,14.58
2020-09-30,27.9,$2.55,10.94
2020-06-30,30.46,$2.31,13.19
2020-03-31,29.1,$2.26,12.88
2019-12-31,39.19,$2.38,16.46
2019-09-30,34.0,$2.35,14.47
2019-06-30,33.85,$2.36,14.34
2019-03-31,33.24,$2.27,14.64
2018-12-31,32.63,$2.17,15.04
2018-09-30,35.07,$1.77,19.81
2018-06-30,31.28,$1.66,18.84
2018-03-31,30.85,$1.57,19.65
2017-12-31,31.66,$1.50,21.1
2017-09-30,30.19,$1.72,17.55
2017-06-30,28.68,$1.65,17.38
2017-03-31,26.42,$1.62,16.31
2016-12-31,27.97,$1.59,17.59
2016-09-30,21.74,$1.57,13.85
2016-06-30,20.11,$1.56,12.89
2016-03-31,19.07,$1.55,12.31
2015-12-31,19.66,$1.54,12.77
2015-09-30,19.29,$1.52,12.69
2015-06-30,21.37,$1.53,13.96
2015-03-31,18.13,$1.52,11.93
2014-12-31,19.79,$1.51,13.11
2014-09-30,18.19,$1.50,12.13
2014-06-30,19.85,$1.45,13.69
2014-03-31,20.21,$1.38,14.65
2013-12-31,20.72,$1.31,15.81
2013-09-30,16.97,$1.24,13.68
2013-06-30,15.16,$1.16,13.07
2013-03-31,12.87,$1.11,11.59
2012-12-31,9.97,$1.05,9.5
2012-09-30,10.38,$0.96,10.81
2012-06-30,10.21,$0.42,24.3
2012-03-31,9.78,$0.33,29.62
2011-12-31,7.79,$0.24,32.46
2011-09-30,5.99,$0.17,35.26
2011-06-30,8.54,$0.57,14.98
2011-03-31,9.45,$0.59,16.02
2010-12-31,9.41,$0.61,15.42
2010-09-30,9.0,$0.63,14.29
2010-06-30,8.98,$0.47,19.1
2010-03-31,9.25,$0.45,20.55
2009-12-31,8.33,$0.55,15.15
