Flywire PE Ratio Historical Data,Flywire PE Ratio Historical Data,Flywire PE Ratio Historical Data,Flywire PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.12,,506.0
2024-12-31,20.62,$0.02,1031.0
2024-09-30,16.39,$0.15,109.27
2024-06-30,16.39,$-0.07,0.0
2024-03-31,24.81,$-0.11,0.0
2023-12-31,23.15,$-0.09,0.0
2023-09-30,31.89,$-0.11,0.0
2023-06-30,31.04,$-0.23,0.0
2023-03-31,29.36,$-0.30,0.0
2022-12-31,24.47,$-0.37,0.0
2022-09-30,22.96,$-0.47,0.0
2022-06-30,17.63,$-0.35,0.0
2022-03-31,30.58,$-0.48,0.0
