Anghami PE Ratio Historical Data,Anghami PE Ratio Historical Data,Anghami PE Ratio Historical Data,Anghami PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.69,,inf
2024-06-30,1.07,0.0,0.0
2021-12-31,10.17,0.0,0.0
2021-09-30,10.07,0.0,0.0
2021-06-30,9.99,0.0,0.0
