Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,73.48,,17.21
2025-01-31,85.86,$4.27,20.11
2024-10-31,90.43,$5.85,15.46
2024-07-31,85.7,$5.80,14.78
2024-04-30,72.21,$5.71,12.65
2024-01-31,70.24,$5.69,12.34
2023-10-31,63.95,$5.80,11.03
2023-07-31,78.47,$5.81,13.51
2023-04-30,69.57,$5.91,11.77
2023-01-31,81.84,$6.29,13.01
2022-10-31,62.44,$6.68,9.35
2022-07-31,69.44,$7.46,9.31
2022-04-30,80.1,$9.01,8.89
2022-01-31,87.63,$9.84,8.91
2021-10-31,107.14,$10.32,10.38
2021-07-31,97.86,$9.80,9.99
2021-04-30,100.64,$8.55,11.77
2021-01-31,93.6,$6.84,13.68
2020-10-31,95.43,$6.58,14.5
2020-07-31,84.77,$6.20,13.67
2020-04-30,64.87,$5.44,11.93
2020-01-31,70.88,$5.81,12.2
2019-10-31,59.77,$5.66,10.56
2019-07-31,63.21,$5.55,11.39
2019-04-30,60.99,$5.52,11.05
2019-01-31,48.21,$5.26,9.17
2018-10-31,56.66,$3.80,14.91
2018-07-31,60.24,$3.59,16.78
2018-04-30,61.07,$3.40,17.96
2018-01-31,57.92,$3.28,17.66
2017-10-31,44.13,$3.96,11.15
2017-07-31,45.72,$3.79,12.06
2017-04-30,40.37,$3.73,10.82
2017-01-31,34.43,$3.83,8.99
2016-10-31,29.91,$3.32,9.01
2016-07-31,25.64,$3.07,8.35
2016-04-30,24.25,$2.92,8.3
2016-01-31,20.64,$2.58,8.0
2015-10-31,25.69,$2.64,9.73
2015-07-31,23.54,$2.58,9.12
2015-04-30,25.09,$2.54,9.88
2015-01-31,25.03,$3.49,7.17
2014-10-31,24.15,$2.86,8.45
2014-07-31,20.91,$2.72,7.69
2014-04-30,18.13,$3.07,5.91
2014-01-31,16.35,$1.52,10.76
2013-10-31,29.61,$-0.52,0.0
2013-07-31,20.72,$-0.71,0.0
2013-04-30,17.79,$-1.44,0.0
2013-01-31,11.04,$-0.74,0.0
2012-10-31,10.19,$0.47,21.67
2012-07-31,12.0,$-4.39,0.0
2012-04-30,14.53,$-4.43,0.0
2012-02-29,16.14,$-4.47,0.0
2012-01-31,15.65,$-4.47,0.0
2011-11-30,17.58,$0.89,19.75
2011-10-31,17.02,$0.89,19.13
2011-08-31,16.49,$0.81,20.36
2011-07-31,17.79,$0.81,21.96
2011-05-31,20.37,$0.34,59.92
2011-04-30,20.03,$0.34,58.9
2011-02-28,20.58,0,0.0
2010-11-30,27.15,0,0.0
2010-08-31,19.88,0,0.0
2010-05-31,26.64,0,0.0
2010-02-28,22.95,0,0.0
2009-11-30,26.83,0,0.0
