Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,63.55,,23.62
2024-12-31,59.14,$2.69,21.99
2024-09-30,60.21,$2.58,23.34
2024-06-30,50.06,$2.45,20.43
2024-03-31,49.1,$2.75,17.85
2023-12-31,49.49,$2.78,17.8
2023-09-30,46.31,$2.74,16.9
2023-06-30,49.74,$2.62,18.99
2023-03-31,50.2,$2.61,19.23
2022-12-31,51.47,$2.73,18.85
2022-09-30,49.0,$2.65,18.49
2022-06-30,53.81,$2.77,19.43
2022-03-31,56.97,$2.71,21.02
2021-12-31,55.65,$2.62,21.24
2021-09-30,50.32,$2.53,19.89
2021-06-30,49.78,$2.49,19.99
2021-03-31,48.0,$2.46,19.51
2020-12-31,45.3,$2.48,18.27
2020-09-30,45.1,$2.68,16.83
2020-06-30,41.48,$2.64,15.71
2020-03-31,41.55,$2.50,16.62
2019-12-31,46.78,$2.33,20.08
2019-09-30,45.8,$2.23,20.54
2019-06-30,41.38,$2.16,19.16
2019-03-31,39.44,$2.19,18.01
2018-12-31,35.07,$2.18,16.09
2018-09-30,35.06,$2.23,15.72
2018-06-30,34.58,$2.09,16.55
2018-03-31,33.13,$2.07,16.01
2017-12-31,34.26,$1.99,17.22
2017-09-30,33.18,$1.86,17.84
2017-06-30,31.82,$1.70,18.72
2017-03-31,31.13,$1.66,18.75
2016-12-31,29.52,$1.65,17.95
2016-09-30,29.61,$1.52,19.55
2016-06-30,30.46,$1.74,17.51
2016-03-31,28.26,$1.67,16.92
2015-12-31,23.54,$1.68,14.01
2015-09-30,21.84,$1.80,12.13
2015-06-30,21.36,$1.70,12.6
2015-03-31,23.11,$1.68,13.8
2014-12-31,24.17,$1.73,14.01
2014-09-30,19.99,$1.75,11.43
2014-06-30,21.77,$1.77,12.3
2014-03-31,20.15,$1.79,11.29
2013-12-31,18.12,$1.62,11.22
2013-09-30,17.24,$1.63,10.58
2013-06-30,17.39,$1.60,10.87
2013-03-31,17.15,$1.61,10.69
2012-12-31,14.86,$1.45,10.25
2012-09-30,14.53,$1.40,10.42
2012-06-30,15.12,$1.27,11.95
2012-03-31,14.23,$1.20,11.91
2011-12-31,14.34,$1.37,10.5
2011-09-30,12.44,$1.33,9.39
2011-06-30,12.94,$1.45,8.92
2011-03-31,12.26,$1.44,8.54
2010-12-31,11.44,$1.30,8.8
2010-09-30,11.19,$1.33,8.41
2010-06-30,9.66,$0.46,21.23
2010-03-31,10.01,$0.37,27.04
2009-12-31,8.99,$0.51,17.8
