Trio-Tech PE Ratio Historical Data,Trio-Tech PE Ratio Historical Data,Trio-Tech PE Ratio Historical Data,Trio-Tech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.3,,45.0
2024-12-31,5.81,$0.14,41.5
2024-09-30,5.54,$0.14,39.57
2024-06-30,6.09,$0.25,24.36
2024-03-31,6.36,$0.23,27.65
2023-12-31,5.07,$0.21,24.14
2023-09-30,7.0,$0.21,33.33
2023-06-30,4.81,$0.37,13.0
2023-03-31,4.7,$0.52,9.04
2022-12-31,4.5,$0.48,9.38
2022-09-30,4.64,$0.56,8.29
2022-06-30,4.33,$0.58,7.47
2022-03-31,7.21,$0.14,51.46
2021-12-31,13.43,$0.22,61.05
2021-09-30,4.22,$0.08,52.75
2021-06-30,5.03,$-0.15,0.0
2021-03-31,4.49,$0.15,29.93
2020-12-31,3.96,$0.13,30.47
2020-09-30,3.42,$0.18,19.0
2020-06-30,3.13,$0.25,12.52
2020-03-31,2.69,$0.32,8.4
2019-12-31,3.99,$0.49,8.14
2019-09-30,3.6,$0.47,7.67
2019-06-30,2.88,$0.42,6.86
2019-03-31,3.33,$0.47,7.09
2018-12-31,2.46,$0.08,30.75
2018-09-30,4.57,$0.17,26.88
2018-06-30,4.47,$0.31,14.42
2018-03-31,5.75,$0.23,25.0
2017-12-31,7.01,$0.53,13.23
2017-09-30,5.24,$0.44,11.91
2017-06-30,4.98,$0.36,13.83
2017-03-31,4.14,$0.32,12.94
2016-12-31,3.32,$0.26,12.76
2016-09-30,3.6,$0.22,16.36
2016-06-30,3.58,$0.22,16.27
2016-03-31,3.2,$0.27,11.85
2015-12-31,2.79,$0.29,9.62
2015-09-30,2.45,$0.27,9.07
2015-06-30,3.06,$0.15,20.4
2015-03-31,2.71,$0.12,22.58
2014-12-31,2.91,$0.11,26.45
2014-09-30,3.87,$-0.02,0.0
2014-06-30,3.47,$0.01,346.99
2014-03-31,3.21,$-0.05,0.0
2013-12-31,3.35,$-0.26,0.0
2013-09-30,3.24,$-0.31,0.0
2013-06-30,2.8,$-0.31,0.0
2013-03-31,2.07,$-0.50,0.0
2012-12-31,1.52,$-0.50,0.0
2012-09-30,1.42,$-0.71,0.0
2012-06-30,1.58,$-0.94,0.0
2012-03-31,2.16,$-1.03,0.0
2011-12-31,2.39,$-1.01,0.0
2011-09-30,2.73,$-0.60,0.0
2011-06-30,3.29,$-0.22,0.0
2011-03-31,4.6,$0.17,27.06
2010-12-31,4.17,$0.35,11.91
2010-09-30,4.72,$0.12,39.33
2010-06-30,3.84,$-0.19,0.0
2010-03-31,3.84,$-0.51,0.0
2009-12-31,3.23,$-0.60,0.0
