Lifeway Foods PE Ratio Historical Data,Lifeway Foods PE Ratio Historical Data,Lifeway Foods PE Ratio Historical Data,Lifeway Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.69,,39.48
2024-12-31,24.8,$0.60,41.33
2024-09-30,25.92,$0.86,30.14
2024-06-30,12.77,$0.90,14.19
2024-03-31,17.22,$0.86,20.02
2023-12-31,13.41,$0.76,17.64
2023-09-30,10.34,$0.55,18.8
2023-06-30,6.55,$0.38,17.24
2023-03-31,6.04,$0.18,33.56
2022-12-31,5.55,$0.06,92.5
2022-09-30,5.72,$0.00,0.0
2022-06-30,4.97,$-0.03,0.0
2022-03-31,7.22,$0.06,120.33
2021-12-31,4.6,$0.20,23.0
2021-09-30,5.6,$0.23,24.35
2021-06-30,5.18,$0.32,16.19
2021-03-31,5.4,$0.28,19.29
2020-12-31,5.41,$0.21,25.76
2020-09-30,5.03,$0.26,19.35
2020-06-30,2.28,$0.14,16.25
2020-03-31,1.92,$0.07,27.43
2019-12-31,1.99,$0.04,49.75
2019-09-30,2.19,$-0.20,0.0
2019-06-30,3.64,$-0.23,0.0
2019-03-31,2.42,$-0.21,0.0
2018-12-31,1.88,$-0.19,0.0
2018-09-30,2.66,$-0.13,0.0
2018-06-30,5.03,$-0.08,0.0
2018-03-31,5.99,$-0.03,0.0
2017-12-31,8.0,$-0.02,0.0
2017-09-30,8.9,$0.12,74.17
2017-06-30,9.34,$0.10,93.4
2017-03-31,10.73,$0.17,63.12
2016-12-31,11.51,$0.20,57.55
2016-09-30,16.94,$0.19,89.16
2016-06-30,9.67,$0.24,40.29
2016-03-31,10.83,$0.12,90.25
2015-12-31,11.1,$0.12,92.5
2015-09-30,10.48,$0.10,104.8
2015-06-30,19.19,$0.11,174.45
2015-03-31,21.39,$0.17,125.82
2014-12-31,18.53,$0.17,109.0
2014-09-30,13.87,$0.14,99.07
2014-06-30,13.98,$0.18,77.67
2014-03-31,14.7,$0.20,73.5
2013-12-31,15.98,$0.30,53.27
2013-09-30,13.51,$0.40,33.78
2013-06-30,17.36,$0.39,44.51
2013-03-31,13.83,$0.43,32.17
2012-12-31,8.7,$0.36,24.16
2012-09-30,9.46,$0.27,35.02
2012-06-30,10.32,$0.24,43.01
2012-03-31,9.14,$0.13,70.33
2011-12-31,9.53,$0.18,52.93
2011-09-30,10.55,$0.19,55.5
2011-06-30,11.05,$0.18,61.39
2011-03-31,10.3,$0.23,44.78
2010-12-31,9.44,$0.22,42.9
2010-09-30,10.4,$0.24,43.32
2010-06-30,9.63,$0.27,35.65
2010-03-31,11.73,$0.35,33.52
2009-12-31,11.74,$0.33,35.58
