Tandy Leather Factory PE Ratio Historical Data,Tandy Leather Factory PE Ratio Historical Data,Tandy Leather Factory PE Ratio Historical Data,Tandy Leather Factory PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.0,,37.5
2024-12-31,4.79,$0.08,59.88
2024-09-30,4.19,$0.28,14.96
2024-06-30,4.5,$0.38,11.84
2024-03-31,4.65,$0.43,10.81
2023-12-31,4.26,$0.45,9.47
2023-09-30,4.21,$0.28,15.04
2023-06-30,4.22,$0.29,14.55
2023-03-31,4.7,$0.16,29.38
2022-12-31,4.25,$0.16,26.56
2022-09-30,3.63,$0.11,33.0
2022-06-30,3.0,$0.02,150.0
2022-03-31,3.0,$0.15,20.0
2021-12-31,3.0,$0.15,20.0
2021-09-30,3.0,$0.10,30.0
2021-06-30,3.0,$-0.01,0.0
2021-03-31,3.0,$-0.27,0.0
2020-12-31,3.0,$-0.54,0.0
2020-09-30,3.0,$-0.59,0.0
2020-06-30,3.4,$-0.67,0.0
2020-03-31,3.6,$-0.57,0.0
2019-12-31,5.71,$-0.28,0.0
2019-09-30,4.65,$-0.26,0.0
2019-06-30,5.5,$-0.08,0.0
2019-03-31,6.0,$0.17,35.29
2018-12-31,5.68,$0.21,27.05
2018-09-30,7.35,$0.46,15.98
2018-06-30,7.8,$0.53,14.72
2018-03-31,7.1,$0.49,14.49
2017-12-31,7.75,$0.48,16.15
2017-09-30,7.85,$0.53,14.81
2017-06-30,8.9,$0.58,15.34
2017-03-31,8.2,$0.66,12.42
2016-12-31,8.1,$0.69,11.74
2016-09-30,7.7,$0.70,11.0
2016-06-30,7.11,$0.70,10.16
2016-03-31,6.95,$0.66,10.53
2015-12-31,7.34,$0.64,11.47
2015-09-30,7.23,$0.64,11.3
2015-06-30,8.6,$0.69,12.46
2015-03-31,8.86,$0.71,12.48
2014-12-31,9.0,$0.75,11.99
2014-09-30,9.45,$0.75,12.6
2014-06-30,8.85,$0.74,11.97
2014-03-31,9.4,$0.73,12.88
2013-12-31,9.5,$0.71,13.37
2013-09-30,7.66,$0.69,11.1
2013-06-30,7.57,$0.57,13.28
2013-03-31,6.93,$0.56,12.37
2012-12-31,5.37,$0.55,9.77
2012-09-30,5.16,$0.50,10.31
2012-06-30,5.02,$0.55,9.13
2012-03-31,5.08,$0.51,9.96
2011-12-31,4.54,$0.47,9.65
2011-09-30,4.28,$0.45,9.5
2011-06-30,4.77,$0.43,11.09
2011-03-31,4.62,$0.42,11.0
2010-12-31,4.39,$0.40,10.97
2010-09-30,4.14,$0.38,10.88
2010-06-30,3.85,$0.37,10.4
2010-03-31,3.11,$0.34,9.15
2009-12-31,3.1,$0.31,10.01
