DouYu Holdings PE Ratio Historical Data,DouYu Holdings PE Ratio Historical Data,DouYu Holdings PE Ratio Historical Data,DouYu Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.97,,0.0
2024-09-30,10.83,$-0.88,0.0
2024-06-30,5.39,$-0.60,0.0
2024-03-31,3.23,$-0.38,0.0
2023-12-31,4.66,$0.10,46.56
2023-09-30,4.77,$0.60,7.95
2023-06-30,5.15,$0.30,17.15
2023-03-31,5.83,$0.20,29.16
2022-12-31,6.86,$-0.30,0.0
2022-09-30,4.9,$-1.30,0.0
2022-06-30,5.88,$-1.90,0.0
2022-03-31,10.19,$-2.50,0.0
2021-12-31,12.94,$-2.40,0.0
2021-09-30,16.12,$-2.50,0.0
2021-06-30,33.52,$-1.50,0.0
2021-03-31,51.02,$0.60,85.03
2020-12-31,54.2,$2.00,27.1
2020-09-30,64.74,$3.60,17.98
2020-06-30,56.55,$2.40,23.56
