Virginia National Bankshares PE Ratio Historical Data,Virginia National Bankshares PE Ratio Historical Data,Virginia National Bankshares PE Ratio Historical Data,Virginia National Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.93,,12.43
2024-09-30,41.32,$2.89,14.3
2024-06-30,32.28,$2.90,11.13
2024-03-31,29.3,$3.18,9.21
2023-12-31,33.1,$3.58,9.24
2023-09-30,28.96,$4.31,6.72
2023-06-30,30.36,$4.53,6.7
2023-03-31,33.59,$4.54,7.4
2022-12-31,33.95,$4.38,7.75
2022-09-30,29.8,$4.04,7.38
2022-06-30,28.67,$3.55,8.07
2022-03-31,31.12,$2.52,12.35
2021-12-31,33.88,$2.15,15.76
2021-09-30,32.05,$2.13,15.05
2021-06-30,28.15,$2.23,12.62
2021-03-31,27.89,$2.20,12.68
2020-12-31,23.22,$1.65,14.08
