First Capital PE Ratio Historical Data,First Capital PE Ratio Historical Data,First Capital PE Ratio Historical Data,First Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.07,,10.78
2024-09-30,34.62,$3.53,9.81
2024-06-30,29.43,$3.60,8.17
2024-03-31,27.76,$3.57,7.78
2023-12-31,26.87,$3.83,7.01
2023-09-30,26.46,$3.95,6.7
2023-06-30,29.1,$3.94,7.39
2023-03-31,24.01,$3.93,6.11
2022-12-31,23.05,$3.54,6.51
2022-09-30,23.55,$3.33,7.07
2022-06-30,24.58,$3.28,7.49
2022-03-31,35.27,$3.29,10.72
2021-12-31,36.2,$3.42,10.58
2021-09-30,36.21,$3.43,10.56
2021-06-30,38.27,$3.37,11.36
2021-03-31,42.75,$3.28,13.03
2020-12-31,52.91,$3.03,17.46
2020-09-30,48.79,$2.90,16.83
2020-06-30,60.24,$2.95,20.42
2020-03-31,51.74,$3.72,13.91
2019-12-31,62.82,$3.73,16.84
2019-09-30,49.58,$3.76,13.19
2019-06-30,43.15,$3.65,11.82
2019-03-31,43.75,$2.78,15.74
2018-12-31,35.93,$2.78,12.92
2018-09-30,32.22,$2.51,12.84
2018-06-30,34.72,$2.38,14.59
2018-03-31,33.22,$2.41,13.79
2017-12-31,30.35,$2.23,13.61
2017-09-30,29.14,$2.27,12.84
2017-06-30,25.42,$2.17,11.72
2017-03-31,27.35,$2.52,10.85
2016-12-31,26.11,$2.53,10.32
2016-09-30,25.41,$2.39,10.63
2016-06-30,26.9,$2.37,11.35
2016-03-31,21.68,$1.81,11.98
2015-12-31,20.42,$1.87,10.92
2015-09-30,20.46,$1.95,10.49
2015-06-30,20.85,$2.00,10.42
2015-03-31,18.46,$2.10,8.79
2014-12-31,18.43,$2.04,9.03
2014-09-30,17.6,$2.03,8.67
2014-06-30,15.7,$1.98,7.93
2014-03-31,15.16,$1.86,8.15
2013-12-31,15.5,$1.82,8.52
2013-09-30,15.41,$1.82,8.47
2013-06-30,14.71,$1.57,9.37
2013-03-31,14.43,$1.51,9.56
2012-12-31,13.66,$1.41,9.68
2012-09-30,13.54,$1.33,10.18
2012-06-30,14.29,$1.46,9.79
2012-03-31,14.43,$1.43,10.09
2011-12-31,12.51,$1.42,8.81
2011-09-30,12.37,$1.40,8.83
2011-06-30,11.84,$1.34,8.84
2011-03-31,10.64,$1.35,7.88
2010-12-31,10.75,$1.39,7.74
2010-09-30,9.73,$1.17,8.32
2010-06-30,9.46,$0.84,11.26
2010-03-31,9.09,$0.63,14.43
2009-12-31,9.35,$0.56,16.69
