Global Indemnity PE Ratio Historical Data,Global Indemnity PE Ratio Historical Data,Global Indemnity PE Ratio Historical Data,Global Indemnity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.65,,14.84
2024-12-31,36.0,$2.47,14.57
2024-09-30,33.23,$2.91,11.42
2024-06-30,31.09,$2.54,12.24
2024-03-31,30.53,$2.48,12.31
2023-12-31,32.24,$1.83,17.62
2023-09-30,34.35,$1.54,22.31
2023-06-30,33.59,$2.59,12.97
2023-03-31,28.15,$1.08,26.06
2022-12-31,23.31,$-0.12,0.0
2022-09-30,22.07,$1.44,15.33
2022-06-30,25.87,$-0.70,0.0
2022-03-31,25.84,$0.57,45.34
2021-12-31,24.65,$1.97,12.51
2021-09-30,26.48,$0.34,77.89
2021-06-30,25.95,$-0.18,0.0
2021-03-31,28.28,$2.00,14.14
2020-12-31,27.05,$-1.50,0.0
2020-09-30,19.49,$0.44,44.3
2020-06-30,22.19,$1.97,11.26
2020-03-31,23.38,$0.38,61.52
2019-12-31,26.88,$4.88,5.51
2019-09-30,22.46,$-2.32,0.0
2019-06-30,27.57,$-2.53,0.0
2019-03-31,26.83,$-3.05,0.0
2018-12-31,31.75,$-4.02,0.0
2018-09-30,32.8,$-0.17,0.0
2018-06-30,33.69,$-0.94,0.0
2018-03-31,29.66,$-0.87,0.0
2017-12-31,35.85,$-0.57,0.0
2017-09-30,36.17,$2.94,12.3
2017-06-30,33.07,$3.99,8.29
2017-03-31,32.83,$3.12,10.52
2016-12-31,32.6,$2.83,11.52
2016-09-30,25.34,$1.95,12.99
2016-06-30,23.48,$1.26,18.64
2016-03-31,26.56,$1.99,13.34
2015-12-31,24.76,$1.84,13.45
2015-09-30,22.32,$0.98,22.78
2015-06-30,23.95,$1.52,15.76
2015-03-31,23.67,$2.40,9.86
2014-12-31,24.2,$2.49,9.72
2014-09-30,21.52,$3.39,6.35
2014-06-30,22.17,$3.28,6.76
2014-03-31,22.47,$2.31,9.73
2013-12-31,21.58,$2.45,8.81
2013-09-30,21.72,$1.28,16.97
2013-06-30,20.09,$1.39,14.45
2013-03-31,19.79,$1.40,14.14
2012-12-31,18.88,$1.29,14.63
2012-09-30,18.66,$0.33,56.56
2012-06-30,17.27,$-1.19,0.0
2012-03-31,16.63,$-1.39,0.0
2011-12-31,16.92,$-1.32,0.0
2011-09-30,14.57,$0.19,76.69
2011-06-30,18.92,$1.97,9.6
2011-03-31,18.75,$2.63,7.13
2010-12-31,17.44,$2.80,6.23
2010-09-30,13.69,$2.88,4.75
2010-06-30,12.56,$3.13,4.01
2010-03-31,16.33,$2.96,5.52
2009-12-31,13.51,$2.80,4.83
