WESCO PE Ratio Historical Data,WESCO PE Ratio Historical Data,WESCO PE Ratio Historical Data,WESCO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,164.97,,12.62
2024-12-31,180.96,$13.07,13.85
2024-09-30,167.62,$12.49,13.42
2024-06-30,157.77,$12.88,12.25
2024-03-31,170.05,$12.01,14.16
2023-12-31,172.19,$13.54,12.72
2023-09-30,142.12,$14.99,9.48
2023-06-30,176.52,$15.09,11.7
2023-03-31,152.0,$15.63,9.72
2022-12-31,122.84,$15.34,8.01
2022-09-30,117.13,$14.37,8.15
2022-06-30,105.08,$12.09,8.69
2022-03-31,127.69,$10.16,12.57
2021-12-31,129.11,$7.84,16.47
2021-09-30,113.15,$5.02,22.54
2021-06-30,100.88,$4.31,23.41
2021-03-31,84.9,$1.45,58.55
2020-12-31,77.02,$1.40,55.02
2020-09-30,43.19,$2.55,16.94
2020-06-30,34.45,$2.76,12.48
2020-03-31,22.42,$5.05,4.44
2019-12-31,58.27,$5.16,11.29
2019-09-30,46.87,$5.16,9.08
2019-06-30,49.7,$5.05,9.84
2019-03-31,52.01,$4.82,10.79
2018-12-31,47.1,$4.82,9.77
2018-09-30,60.29,$4.03,14.96
2018-06-30,56.02,$3.74,14.98
2018-03-31,60.88,$3.54,17.2
2017-12-31,66.87,$3.37,19.84
2017-09-30,57.15,$3.86,14.81
2017-06-30,56.22,$2.09,26.9
2017-03-31,68.24,$2.09,32.65
2016-12-31,65.3,$2.10,31.09
2016-09-30,60.33,$2.17,27.8
2016-06-30,50.52,$4.10,12.32
2016-03-31,53.64,$4.08,13.15
2015-12-31,42.86,$4.21,10.18
2015-09-30,45.59,$4.58,9.96
2015-06-30,67.35,$4.82,13.97
2015-03-31,68.57,$5.11,13.42
2014-12-31,74.77,$5.18,14.44
2014-09-30,76.79,$4.87,15.77
2014-06-30,84.75,$4.67,18.15
2014-03-31,81.65,$4.63,17.64
2013-12-31,89.36,$5.26,16.99
2013-09-30,75.09,$5.12,14.67
2013-06-30,66.68,$5.05,13.2
2013-03-31,71.24,$4.95,14.39
2012-12-31,66.16,$4.38,15.11
2012-09-30,56.12,$4.55,12.33
2012-06-30,56.47,$4.41,12.8
2012-03-31,64.08,$4.26,15.04
2011-12-31,52.01,$3.97,13.1
2011-09-30,32.92,$3.57,9.22
2011-06-30,53.07,$3.20,16.58
2011-03-31,61.32,$2.80,21.9
2010-12-31,51.81,$2.56,20.24
2010-09-30,38.55,$2.35,16.4
2010-06-30,33.04,$2.40,13.77
2010-03-31,34.06,$2.42,14.07
2009-12-31,26.5,$2.47,10.73
