Lipella Pharmaceuticals PE Ratio Historical Data,Lipella Pharmaceuticals PE Ratio Historical Data,Lipella Pharmaceuticals PE Ratio Historical Data,Lipella Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.6,,0.0
2024-09-30,0.47,$-4.25,0.0
2024-06-30,0.45,$-4.80,0.0
2024-03-31,0.69,$-6.00,0.0
2023-12-31,1.02,$-6.24,0.0
2023-09-30,1.5,$-5.52,0.0
