Aspira Women's Health PE Ratio Historical Data,Aspira Women's Health PE Ratio Historical Data,Aspira Women's Health PE Ratio Historical Data,Aspira Women's Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.1,,0.0
2024-09-30,0.81,$-1.20,0.0
2024-06-30,1.49,$-1.45,0.0
2024-03-31,3.1,$-1.45,0.0
2023-12-31,4.08,$-12.01,0.0
2023-09-30,5.36,$-12.30,0.0
2023-06-30,3.31,$-12.42,0.0
2023-03-31,5.49,$-13.19,0.0
2022-12-31,4.99,$-3.45,0.0
2022-09-30,5.58,$-4.05,0.0
2022-06-30,8.81,$-4.80,0.0
2022-03-31,15.6,$-4.65,0.0
2021-12-31,26.55,$-4.20,0.0
2021-09-30,48.75,$-11.69,0.0
2021-06-30,84.3,$-10.94,0.0
2021-03-31,101.25,$-10.64,0.0
2020-12-31,100.65,$-10.49,0.0
2020-09-30,46.28,$-2.25,0.0
2020-06-30,57.6,$-2.25,0.0
2020-03-31,12.49,$-2.55,0.0
2019-12-31,12.15,$-2.70,0.0
2019-09-30,7.84,$-2.85,0.0
2019-06-30,13.35,$-2.85,0.0
2019-03-31,17.25,$-2.55,0.0
2018-12-31,4.5,$-2.55,0.0
2018-09-30,10.65,$-2.70,0.0
2018-06-30,11.71,$-3.00,0.0
2018-03-31,20.4,$-3.00,0.0
2017-12-31,28.95,$-3.00,0.0
2017-09-30,27.0,$-3.00,0.0
2017-06-30,27.6,$-3.15,0.0
2017-03-31,31.35,$-3.60,0.0
2016-12-31,14.25,$-4.20,0.0
2016-09-30,19.5,$-4.95,0.0
2016-06-30,16.65,$-5.40,0.0
2016-03-31,22.05,$-6.00,0.0
2015-12-31,27.0,$-6.15,0.0
2015-09-30,30.0,$-6.30,0.0
2015-06-30,31.05,$-7.20,0.0
2015-03-31,26.55,$-7.80,0.0
2014-12-31,29.85,$-7.95,0.0
2014-09-30,26.85,$-7.35,0.0
2014-06-30,38.7,$-6.45,0.0
2014-03-31,44.25,$-5.85,0.0
2013-12-31,35.4,$-6.75,0.0
2013-09-30,38.55,$-7.05,0.0
2013-06-30,40.05,$-7.50,0.0
2013-03-31,18.0,$-7.80,0.0
2012-12-31,19.8,$-7.05,0.0
2012-09-30,25.35,$-8.85,0.0
2012-06-30,33.75,$-11.54,0.0
2012-03-31,30.3,$-15.44,0.0
2011-12-31,17.55,$-18.74,0.0
2011-09-30,39.15,$-21.29,0.0
2011-06-30,61.35,$-20.54,0.0
2011-03-31,69.02,$-15.74,0.0
2010-12-31,112.8,$-27.74,0.0
2010-09-30,82.8,$-34.93,0.0
2010-06-30,182.85,$-56.82,0.0
2010-03-31,431.25,$-59.97,0.0
2009-12-31,411.75,$-49.48,0.0
