Taoping PE Ratio Historical Data,Taoping PE Ratio Historical Data,Taoping PE Ratio Historical Data,Taoping PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.28,,0.0
2024-06-30,0.7,$-107.38,0.0
2018-03-31,107.4,$-154.77,0.0
2017-03-31,42.6,$-191.96,0.0
2012-12-31,54.59,$-198.56,0.0
2012-09-30,70.2,$-106.78,0.0
2012-06-30,60.0,$-56.99,0.0
2012-03-31,74.4,$-6.60,0.0
2011-12-31,76.02,$19.20,3.96
2011-09-30,110.4,$52.79,2.09
2011-06-30,249.6,$75.58,3.3
2011-03-31,324.0,$83.98,3.86
2010-12-31,625.2,$79.18,7.9
2010-09-30,584.4,$82.78,7.06
2010-06-30,624.0,$81.58,7.65
2010-03-31,608.4,$79.18,7.68
2009-12-31,739.2,$74.39,9.94
