Federated Hermes PE Ratio Historical Data,Federated Hermes PE Ratio Historical Data,Federated Hermes PE Ratio Historical Data,Federated Hermes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.78,,12.47
2024-12-31,41.11,$3.19,12.89
2024-09-30,36.49,$3.11,11.73
2024-06-30,32.33,$2.91,11.11
2024-03-31,34.12,$3.52,9.69
2023-12-31,31.73,$3.41,9.31
2023-09-30,31.47,$3.08,10.22
2023-06-30,33.03,$3.00,11.01
2023-03-31,36.72,$2.83,12.98
2022-12-31,33.0,$2.66,12.4
2022-09-30,29.87,$2.74,10.9
2022-06-30,28.44,$2.69,10.57
2022-03-31,30.2,$2.61,11.57
2021-12-31,33.05,$2.75,12.02
2021-09-30,28.36,$2.97,9.55
2021-06-30,29.34,$3.09,9.5
2021-03-31,26.86,$3.33,8.07
2020-12-31,24.55,$3.21,7.65
2020-09-30,17.37,$3.09,5.62
2020-06-30,18.94,$2.96,6.4
2020-03-31,15.04,$2.78,5.41
2019-12-31,25.54,$2.69,9.5
2019-09-30,25.2,$2.49,10.12
2019-06-30,25.27,$2.36,10.71
2019-03-31,22.6,$2.12,10.66
2018-12-31,20.27,$2.18,9.3
2018-09-30,18.22,$2.88,6.33
2018-06-30,17.41,$2.85,6.11
2018-03-31,24.67,$3.00,8.22
2017-12-31,26.45,$2.89,9.15
2017-09-30,21.6,$2.10,10.28
2017-06-30,20.36,$2.08,9.79
2017-03-31,18.8,$2.08,9.04
2016-12-31,19.99,$2.03,9.85
2016-09-30,19.95,$1.97,10.13
2016-06-30,19.22,$1.85,10.39
2016-03-31,19.11,$1.72,11.11
2015-12-31,18.78,$1.63,11.52
2015-09-30,18.79,$1.56,12.04
2015-06-30,21.61,$1.50,14.41
2015-03-31,21.71,$1.45,14.97
2014-12-31,20.94,$1.44,14.54
2014-09-30,18.52,$1.44,12.86
2014-06-30,19.34,$1.44,13.43
2014-03-31,18.93,$1.48,12.79
2013-12-31,17.68,$1.55,11.41
2013-09-30,16.52,$1.60,10.32
2013-06-30,16.53,$1.78,9.29
2013-03-31,14.12,$1.78,7.93
2012-12-31,11.95,$1.78,6.71
2012-09-30,11.27,$1.70,6.63
2012-06-30,11.76,$1.53,7.69
2012-03-31,11.93,$1.55,7.7
2011-12-31,7.96,$1.46,5.45
2011-09-30,9.1,$1.55,5.87
2011-06-30,12.22,$1.60,7.64
2011-03-31,13.59,$1.65,8.24
2010-12-31,13.18,$1.71,7.71
2010-09-30,11.35,$1.77,6.41
2010-06-30,10.22,$1.91,5.35
2010-03-31,12.88,$1.97,6.54
2009-12-31,12.66,$1.93,6.56
