Hanover Insurance PE Ratio Historical Data,Hanover Insurance PE Ratio Historical Data,Hanover Insurance PE Ratio Historical Data,Hanover Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,171.04,,14.63
2024-12-31,154.66,$11.69,13.23
2024-09-30,147.25,$10.08,14.61
2024-06-30,123.99,$7.52,16.49
2024-03-31,133.66,$4.46,29.97
2023-12-31,118.4,$0.94,125.96
2023-09-30,107.48,$-2.37,0.0
2023-06-30,108.68,$-2.60,0.0
2023-03-31,122.68,$-0.03,0.0
2022-12-31,128.21,$3.21,39.94
2022-09-30,120.87,$8.07,14.98
2022-06-30,137.2,$9.00,15.24
2022-03-31,139.53,$11.89,11.74
2021-12-31,121.64,$11.50,10.58
2021-09-30,119.62,$11.40,10.49
2021-06-30,124.54,$13.59,9.16
2021-03-31,118.27,$13.08,9.04
2020-12-31,106.23,$9.53,11.15
2020-09-30,84.16,$7.86,10.71
2020-06-30,90.9,$7.69,11.82
2020-03-31,80.74,$6.47,12.48
2019-12-31,120.98,$10.48,11.54
2019-09-30,117.27,$10.60,11.06
2019-06-30,110.5,$9.97,11.08
2019-03-31,97.86,$10.49,9.33
2018-12-31,95.43,$9.09,10.5
2018-09-30,100.27,$7.41,13.53
2018-06-30,96.74,$5.34,18.12
2018-03-31,94.97,$4.86,19.54
2017-12-31,86.66,$4.34,19.97
2017-09-30,77.31,$2.82,27.41
2017-06-30,70.32,$4.62,15.22
2017-03-31,71.03,$2.84,25.01
2016-12-31,71.38,$3.59,19.88
2016-09-30,58.82,$5.67,10.37
2016-06-30,65.6,$5.35,12.26
2016-03-31,69.57,$7.98,8.72
2015-12-31,62.38,$7.40,8.43
2015-09-30,59.26,$7.64,7.76
2015-06-30,56.17,$7.12,7.89
2015-03-31,54.76,$6.28,8.72
2014-12-31,53.49,$6.28,8.52
2014-09-30,45.8,$5.84,7.84
2014-06-30,46.8,$5.99,7.81
2014-03-31,45.26,$5.34,8.48
2013-12-31,43.72,$5.58,7.83
2013-09-30,40.25,$2.78,14.48
2013-06-30,35.37,$2.30,15.38
2013-03-31,35.67,$1.57,22.72
2012-12-31,27.61,$1.20,23.0
2012-09-30,26.32,$3.53,7.46
2012-06-30,27.42,$2.43,11.28
2012-03-31,28.58,$1.27,22.51
2011-12-31,24.12,$0.82,29.41
2011-09-30,24.29,$1.00,24.29
2011-06-30,25.59,$2.36,10.84
2011-03-31,30.5,$3.11,9.81
2010-12-31,31.12,$3.34,9.32
2010-09-30,31.13,$3.21,9.7
2010-06-30,28.65,$3.03,9.46
2010-03-31,28.56,$4.23,6.75
2009-12-31,28.93,$3.86,7.49
