NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,71.15,,21.11
2024-12-31,71.69,$3.37,21.27
2024-09-30,83.96,$3.38,24.84
2024-06-30,69.89,$3.08,22.69
2024-03-31,63.08,$3.67,17.19
2023-12-31,59.39,$3.61,16.45
2023-09-30,55.57,$3.78,14.7
2023-06-30,71.47,$4.04,17.69
2023-03-31,73.78,$3.36,21.96
2022-12-31,79.51,$2.09,38.04
2022-09-30,74.2,$1.94,38.25
2022-06-30,72.94,$1.31,55.68
2022-03-31,79.34,$0.74,107.21
2021-12-31,86.96,$1.81,48.05
2021-09-30,72.82,$1.20,60.68
2021-06-30,67.65,$1.60,42.41
2021-03-31,69.43,$2.11,32.87
2020-12-31,70.48,$1.49,47.38
2020-09-30,63.1,$1.99,31.79
2020-06-30,54.32,$1.81,29.97
2020-03-31,54.13,$1.81,29.99
2019-12-31,54.18,$1.94,27.89
2019-09-30,51.85,$1.67,31.14
2019-06-30,45.33,$1.74,26.05
2019-03-31,42.51,$1.51,28.15
2018-12-31,37.97,$3.49,10.89
2018-09-30,36.61,$4.41,8.31
2018-06-30,36.25,$4.33,8.38
2018-03-31,35.21,$4.34,8.12
2017-12-31,33.43,$2.85,11.74
2017-09-30,31.17,$2.23,14.01
2017-06-30,29.61,$2.18,13.57
2017-03-31,26.93,$2.05,13.12
2016-12-31,24.88,$1.55,16.02
2016-09-30,25.28,$1.31,19.26
2016-06-30,26.76,$1.39,19.25
2016-03-31,24.11,$1.50,16.1
2015-12-31,21.01,$1.52,13.84
2015-09-30,19.57,$1.74,11.23
2015-06-30,19.52,$1.64,11.94
2015-03-31,20.56,$1.52,13.55
2014-12-31,20.85,$1.40,14.89
2014-09-30,18.29,$1.09,16.82
2014-06-30,19.82,$1.12,17.65
2014-03-31,18.35,$1.20,15.26
2013-12-31,16.3,$1.12,14.59
2013-09-30,15.14,$1.19,12.78
2013-06-30,15.27,$1.02,14.97
2013-03-31,14.43,$1.02,14.11
2012-12-31,12.74,$1.14,11.17
2012-09-30,12.83,$1.28,10.01
2012-06-30,12.45,$1.28,9.72
2012-03-31,10.95,$1.26,8.67
2011-12-31,10.8,$1.15,9.43
2011-09-30,9.49,$0.91,10.48
2011-06-30,9.99,$1.10,9.11
2011-03-31,9.49,$1.01,9.45
2010-12-31,8.86,$1.19,7.48
2010-09-30,9.18,$1.24,7.41
2010-06-30,8.16,$1.13,7.2
2010-03-31,8.0,$1.11,7.23
2009-12-31,8.66,$0.99,8.72
