Star Holdings PE Ratio Historical Data,Star Holdings PE Ratio Historical Data,Star Holdings PE Ratio Historical Data,Star Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.18,,0.0
2024-12-31,9.73,$-6.52,0.0
2024-09-30,13.84,$6.14,2.25
2024-06-30,12.06,$-6.90,0.0
2024-03-31,12.92,$-11.61,0.0
2023-12-31,14.98,$-14.74,0.0
