PERMIANVILLE ROYALTY TRUST PE Ratio Historical Data,PERMIANVILLE ROYALTY TRUST PE Ratio Historical Data,PERMIANVILLE ROYALTY TRUST PE Ratio Historical Data,PERMIANVILLE ROYALTY TRUST PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.56,,31.2
2024-12-31,1.36,$0.05,27.2
2024-09-30,1.59,$0.21,7.59
2024-06-30,0.99,$0.24,4.14
2024-03-31,1.3,$0.30,4.34
2023-12-31,1.38,$0.43,3.2
2023-09-30,2.34,$0.42,5.58
2023-06-30,2.27,$0.43,5.27
2023-03-31,2.13,$0.45,4.74
2022-12-31,2.97,$0.41,7.24
2022-09-30,2.9,$0.26,11.16
2022-06-30,2.85,$0.18,15.84
2022-03-31,2.11,$0.10,21.09
2021-12-31,1.76,$0.01,176.22
2021-09-30,1.56,$0.01,155.99
2021-06-30,1.58,0,0.0
2021-03-31,1.2,$0.09,13.35
2020-12-31,0.59,$0.15,3.93
2020-09-30,0.56,$0.22,2.57
2020-06-30,0.97,$0.30,3.23
2020-03-31,0.83,$0.31,2.68
2019-12-31,1.38,$0.28,4.93
2019-09-30,1.94,$0.21,9.22
2019-06-30,1.95,$0.28,6.96
