Western Digital PE Ratio Historical Data,Western Digital PE Ratio Historical Data,Western Digital PE Ratio Historical Data,Western Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.51,,10.6
2024-12-31,59.63,$4.20,14.2
2024-09-30,68.29,$1.70,40.17
2024-06-30,75.77,$-1.82,0.0
2024-03-31,68.24,$-4.97,0.0
2023-12-31,52.37,$-7.13,0.0
2023-09-30,45.63,$-7.66,0.0
2023-06-30,37.93,$-5.41,0.0
2023-03-31,37.67,$-2.19,0.0
2022-12-31,31.55,$-0.29,0.0
2022-09-30,32.55,$2.90,11.22
2022-06-30,44.83,$4.75,9.44
2022-03-31,49.65,$5.77,8.6
2021-12-31,65.21,$6.32,10.32
2021-09-30,56.44,$4.73,11.93
2021-06-30,71.17,$2.60,27.37
2021-03-31,66.75,$1.12,59.6
2020-12-31,55.39,$0.55,100.71
2020-09-30,36.55,$-0.12,0.0
2020-06-30,44.15,$-0.85,0.0
2020-03-31,41.09,$-2.01,0.0
2019-12-31,62.18,$-4.06,0.0
2019-09-30,57.93,$-5.27,0.0
2019-06-30,46.18,$-2.63,0.0
2019-03-31,46.16,$0.50,92.32
2018-12-31,35.13,$2.69,13.06
2018-09-30,54.88,$1.59,34.51
2018-06-30,71.95,$2.11,34.1
2018-03-31,85.21,$0.58,146.91
2017-12-31,73.04,$1.21,60.36
2017-09-30,78.86,$4.79,16.46
2017-06-30,80.4,$1.28,62.81
2017-03-31,74.5,$-0.99,0.0
2016-12-31,60.96,$-1.50,0.0
2016-09-30,52.08,$-1.23,0.0
2016-06-30,41.74,$1.26,33.12
2016-03-31,41.27,$3.54,11.66
2015-12-31,51.89,$4.85,10.7
2015-09-30,68.06,$5.71,11.92
2015-06-30,66.8,$6.26,10.67
2015-03-31,77.03,$6.64,11.6
2014-12-31,93.18,$6.56,14.2
2014-09-30,81.29,$6.40,12.7
2014-06-30,77.09,$6.69,11.52
2014-03-31,76.36,$7.08,10.79
2013-12-31,69.54,$7.13,9.75
2013-09-30,52.36,$6.72,7.79
2013-06-30,51.07,$6.73,7.59
2013-03-31,41.2,$7.89,5.22
2012-12-31,34.63,$8.25,4.2
2012-09-30,31.36,$7.50,4.18
2012-06-30,24.52,$6.45,3.8
2012-03-31,33.3,$4.25,7.83
2011-12-31,24.9,$2.91,8.56
2011-09-30,20.69,$3.26,6.35
2011-06-30,29.27,$3.09,9.47
2011-03-31,30.0,$3.55,8.45
2010-12-31,27.27,$4.64,5.88
2010-09-30,22.84,$5.53,4.13
2010-06-30,24.26,$5.94,4.08
2010-03-31,31.37,$5.67,5.53
2009-12-31,35.52,$4.18,8.5
