Willis Lease Finance PE Ratio Historical Data,Willis Lease Finance PE Ratio Historical Data,Willis Lease Finance PE Ratio Historical Data,Willis Lease Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,185.94,,14.78
2024-12-31,207.55,$12.58,16.5
2024-09-30,148.63,$14.11,10.53
2024-06-30,69.03,$12.87,5.36
2024-03-31,48.69,$8.68,5.61
2023-12-31,47.96,$6.23,7.7
2023-09-30,41.51,$6.82,6.09
2023-06-30,38.4,$5.58,6.88
2023-03-31,53.75,$4.37,12.3
2022-12-31,57.9,$0.12,482.52
2022-09-30,32.13,$-1.86,0.0
2022-06-30,36.78,$-2.43,0.0
2022-03-31,31.59,$-3.36,0.0
2021-12-31,36.94,$-0.02,0.0
2021-09-30,36.49,$-0.78,0.0
2021-06-30,42.06,$-0.75,0.0
2021-03-31,42.64,$0.11,387.68
2020-12-31,29.89,$1.03,29.02
2020-09-30,18.1,$2.33,7.77
2020-06-30,23.82,$5.79,4.11
2020-03-31,26.1,$7.71,3.39
2019-12-31,57.8,$10.50,5.51
2019-09-30,54.34,$12.73,4.27
2019-06-30,57.23,$10.39,5.51
2019-03-31,41.59,$8.99,4.63
2018-12-31,33.95,$6.64,5.11
2018-09-30,33.86,$10.48,3.23
2018-06-30,31.0,$9.81,3.16
2018-03-31,33.64,$9.47,3.55
2017-12-31,24.5,$9.73,2.52
2017-09-30,24.13,$3.37,7.16
2017-06-30,26.23,$3.19,8.22
2017-03-31,21.93,$2.76,7.95
2016-12-31,25.1,$2.02,12.43
2016-09-30,23.32,$2.01,11.6
2016-06-30,21.81,$1.71,12.76
2016-03-31,21.18,$1.16,18.26
2015-12-31,19.72,$0.93,21.21
2015-09-30,15.95,$0.52,30.68
2015-06-30,18.03,$0.32,56.33
2015-03-31,18.23,$0.65,28.05
2014-12-31,21.49,$0.89,24.15
2014-09-30,20.14,$1.73,11.64
2014-06-30,24.06,$1.34,17.96
2014-03-31,20.09,$2.24,8.97
2013-12-31,17.03,$1.90,8.97
2013-09-30,15.43,$1.00,15.43
2013-06-30,13.26,$0.37,35.83
2013-03-31,14.84,$-0.52,0.0
2012-12-31,14.04,$-0.42,0.0
2012-09-30,12.11,0,0.0
2012-06-30,12.09,$1.07,11.3
2012-03-31,12.77,$1.10,11.61
2011-12-31,11.73,$1.28,9.16
2011-09-30,11.08,$1.30,8.52
2011-06-30,13.15,$1.38,9.53
2011-03-31,12.4,$1.19,10.42
2010-12-31,12.79,$0.96,13.32
2010-09-30,9.87,$0.64,15.42
2010-06-30,9.05,$1.33,6.8
2010-03-31,15.48,$1.68,9.22
2009-12-31,14.72,$2.16,6.81
