Similarweb PE Ratio Historical Data,Similarweb PE Ratio Historical Data,Similarweb PE Ratio Historical Data,Similarweb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.15,,0.0
2024-12-31,14.17,$-0.14,0.0
2024-09-30,8.84,$-0.11,0.0
2024-06-30,7.77,$-0.14,0.0
2024-03-31,9.0,$-0.25,0.0
2023-12-31,5.33,$-0.37,0.0
2023-09-30,6.48,$-0.53,0.0
2023-06-30,6.56,$-0.75,0.0
2023-03-31,6.76,$-0.92,0.0
2022-12-31,6.43,$-1.11,0.0
2022-09-30,5.86,$-1.23,0.0
2022-06-30,8.25,$-1.18,0.0
2022-03-31,12.95,$-1.22,0.0
