Permian Resources PE Ratio Historical Data,Permian Resources PE Ratio Historical Data,Permian Resources PE Ratio Historical Data,Permian Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.97,,9.77
2024-12-31,14.38,$1.43,10.06
2024-09-30,13.48,$1.65,8.17
2024-06-30,15.77,$1.25,12.61
2024-03-31,17.03,$1.10,15.48
2023-12-31,12.99,$1.16,11.2
2023-09-30,13.22,$0.91,14.53
2023-06-30,10.3,$1.48,6.96
2023-03-31,9.76,$1.87,5.22
2022-12-31,8.7,$1.61,5.4
2022-09-30,6.26,$1.86,3.37
2022-06-30,5.51,$1.28,4.3
2022-03-31,7.43,$0.59,12.6
2021-12-31,5.51,$0.42,13.12
2021-09-30,6.17,$-0.41,0.0
2021-06-30,6.25,$-0.72,0.0
2021-03-31,3.87,$-0.61,0.0
2020-12-31,1.38,$-2.48,0.0
2020-09-30,0.55,$-2.13,0.0
2020-06-30,0.82,$-1.95,0.0
2020-03-31,0.24,$-1.90,0.0
2019-12-31,4.26,$0.06,70.94
2019-09-30,4.16,$0.15,27.73
2019-06-30,6.99,$0.31,22.56
2019-03-31,8.1,$0.48,16.87
2018-12-31,10.15,$0.76,13.36
2018-09-30,20.13,$0.76,26.49
2018-06-30,16.64,$0.67,24.83
2018-03-31,16.9,$0.52,32.51
2017-12-31,18.24,$0.31,58.84
2017-09-30,16.55,$0.19,87.13
2017-06-30,14.57,$0.09,161.93
2017-03-31,16.79,0,0.0
