Alliance Resource Partners PE Ratio Historical Data,Alliance Resource Partners PE Ratio Historical Data,Alliance Resource Partners PE Ratio Historical Data,Alliance Resource Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.68,,9.67
2024-12-31,26.29,$2.76,9.53
2024-09-30,24.36,$3.52,6.92
2024-06-30,23.12,$4.04,5.72
2024-03-31,18.38,$4.57,4.02
2023-12-31,18.75,$4.81,3.9
2023-09-30,19.35,$5.56,3.48
2023-06-30,15.33,$5.63,2.72
2023-03-31,16.15,$5.56,2.91
2022-12-31,15.76,$4.39,3.59
2022-09-30,17.4,$3.16,5.51
2022-06-30,13.61,$2.35,5.79
2022-03-31,11.31,$1.46,7.75
2021-12-31,9.1,$1.37,6.64
2021-09-30,7.69,$1.24,6.2
2021-06-30,5.04,$1.01,4.99
2021-03-31,3.98,$0.30,13.28
2020-12-31,3.08,$-1.03,0.0
2020-09-30,1.9,$-1.10,0.0
2020-06-30,2.24,$-1.01,0.0
2020-03-31,2.13,$-0.20,0.0
2019-12-31,7.11,$3.06,2.32
2019-09-30,10.08,$3.24,3.11
2019-06-30,10.35,$3.49,2.97
2019-03-31,12.06,$3.69,3.27
2018-12-31,10.0,$2.73,3.66
2018-09-30,11.45,$2.90,3.95
2018-06-30,10.03,$2.87,3.5
2018-03-31,9.38,$3.05,3.08
2017-12-31,10.2,$2.99,3.41
2017-09-30,9.76,$3.74,2.61
2017-06-30,9.29,$4.13,2.25
2017-03-31,10.44,$4.15,2.52
2016-12-31,10.63,$3.41,3.12
2016-09-30,10.31,$1.92,5.37
2016-06-30,7.16,$1.62,4.42
2016-03-31,5.14,$1.54,3.34
2015-12-31,5.67,$2.10,2.7
2015-09-30,9.08,$3.47,2.62
2015-06-30,9.89,$3.99,2.48
2015-03-31,12.98,$4.60,2.82
2014-12-31,16.44,$4.78,3.44
2014-09-30,16.14,$4.53,3.57
2014-06-30,17.35,$4.15,4.18
2014-03-31,15.44,$3.76,4.11
2013-12-31,13.92,$3.63,3.84
2013-09-30,13.2,$3.64,3.63
2013-06-30,12.38,$3.34,3.71
2013-03-31,10.99,$3.27,3.36
2012-12-31,9.84,$3.07,3.21
2012-09-30,9.99,$3.10,3.23
2012-06-30,9.19,$3.73,2.46
2012-03-31,9.68,$3.84,2.53
2011-12-31,12.02,$4.06,2.96
2011-09-30,10.3,$4.01,2.57
2011-06-30,12.01,$3.67,3.28
2011-03-31,12.48,$3.56,3.51
2010-12-31,9.96,$3.34,2.98
2010-09-30,8.71,$2.78,3.13
2010-06-30,6.61,$2.33,2.85
2010-03-31,6.06,$1.78,3.41
2009-12-31,6.15,$1.78,3.47
