H&R Block PE Ratio Historical Data,H&R Block PE Ratio Historical Data,H&R Block PE Ratio Historical Data,H&R Block PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.4,,14.44
2024-12-31,52.84,$3.63,14.56
2024-09-30,63.14,$4.10,15.4
2024-06-30,53.56,$4.22,12.69
2024-03-31,48.5,$4.37,11.1
2023-12-31,47.47,$3.63,13.08
2023-09-30,41.97,$3.51,11.96
2023-06-30,30.81,$3.57,8.63
2023-03-31,33.77,$2.97,11.37
2022-12-31,34.69,$2.90,11.96
2022-09-30,40.15,$3.25,12.35
2022-06-30,33.12,$3.46,9.57
2022-03-31,24.24,$2.10,11.54
2021-12-31,21.69,$-1.95,0.0
2021-09-30,22.75,$4.28,5.32
2021-06-30,21.14,$5.13,4.12
2021-04-30,19.82,$3.86,5.13
2021-03-31,19.41,$3.86,5.03
2021-01-31,15.15,$-2.45,0.0
2020-12-31,13.95,$-2.45,0.0
2020-10-31,14.97,$-1.18,0.0
2020-09-30,14.12,$-1.18,0.0
2020-07-31,12.35,0,0.0
2020-04-30,13.93,0,0.0
2020-01-31,19.09,0,0.0
2019-10-31,20.34,0,0.0
2019-07-31,22.3,0,0.0
2019-04-30,21.71,0,0.0
2019-01-31,18.63,0,0.0
2018-10-31,20.77,0,0.0
2018-07-31,19.5,0,0.0
2018-04-30,21.2,0,0.0
2018-01-31,20.18,0,0.0
2017-10-31,18.63,0,0.0
2017-07-31,22.77,0,0.0
2017-04-30,18.36,0,0.0
2017-01-31,15.75,0,0.0
2016-10-31,16.69,0,0.0
2016-07-31,17.12,0,0.0
2016-04-30,14.43,0,0.0
2016-01-31,24.1,0,0.0
2015-10-31,26.23,0,0.0
2015-07-31,23.3,0,0.0
2015-04-30,21.03,0,0.0
2015-01-31,23.69,0,0.0
2014-10-31,22.2,0,0.0
2014-07-31,21.94,0,0.0
2014-04-30,19.29,0,0.0
2014-01-31,20.49,0,0.0
2013-10-31,19.04,0,0.0
2013-07-31,20.88,0,0.0
2013-04-30,18.31,0,0.0
2013-01-31,14.92,0,0.0
2012-10-31,11.47,0,0.0
2012-07-31,10.33,0,0.0
2012-04-30,9.29,0,0.0
2012-01-31,10.21,0,0.0
2011-10-31,9.42,0,0.0
2011-07-31,9.12,0,0.0
2011-04-30,10.44,0,0.0
2011-01-31,7.48,0,0.0
2010-10-31,6.96,0,0.0
2010-07-31,9.16,0,0.0
2010-04-30,10.59,0,0.0
2010-01-31,12.34,0,0.0
2009-10-31,10.43,0,0.0
