Insteel Industries PE Ratio Historical Data,Insteel Industries PE Ratio Historical Data,Insteel Industries PE Ratio Historical Data,Insteel Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.51,,27.79
2024-12-31,27.01,$0.99,27.28
2024-09-30,30.04,$0.99,30.34
2024-06-30,29.89,$1.04,28.74
2024-03-31,36.86,$1.24,29.73
2023-12-31,36.89,$1.15,32.08
2023-09-30,29.13,$1.66,17.55
2023-06-30,27.9,$2.61,10.69
2023-03-31,24.92,$4.03,6.18
2022-12-31,24.62,$5.76,4.27
2022-09-30,22.15,$6.37,3.48
2022-06-30,28.08,$6.41,4.38
2022-03-31,30.83,$5.39,5.72
2021-12-31,33.15,$4.16,7.97
2021-09-30,30.16,$3.40,8.87
2021-06-30,25.46,$2.50,10.19
2021-03-31,24.4,$1.90,12.84
2020-12-31,17.61,$1.37,12.85
2020-09-30,13.87,$0.98,14.15
2020-06-30,14.12,$0.51,27.68
2020-03-31,9.79,$0.28,34.97
2019-12-31,15.85,$0.10,158.46
2019-09-30,15.12,$0.28,53.99
2019-06-30,15.31,$0.86,17.8
2019-03-31,15.36,$1.42,10.82
2018-12-31,17.8,$1.68,10.6
2018-09-30,26.27,$1.89,13.9
2018-06-30,24.44,$1.60,15.27
2018-03-31,20.2,$1.29,15.66
2017-12-31,20.68,$1.37,15.09
2017-09-30,18.39,$1.18,15.58
2017-06-30,23.19,$1.49,15.57
2017-03-31,25.4,$1.84,13.8
2016-12-31,25.03,$1.83,13.68
2016-09-30,24.61,$1.96,12.56
2016-06-30,19.4,$1.96,9.9
2016-03-31,20.72,$1.54,13.45
2015-12-31,14.16,$1.30,10.89
2015-09-30,10.36,$1.16,8.93
2015-06-30,12.06,$0.89,13.55
2015-03-31,13.92,$0.91,15.3
2014-12-31,15.16,$0.96,15.79
2014-09-30,13.2,$0.89,14.83
2014-06-30,12.6,$0.78,16.15
2014-03-31,12.59,$0.65,19.37
2013-12-31,14.53,$0.66,22.01
2013-09-30,10.27,$0.64,16.05
2013-06-30,11.16,$0.56,19.93
2013-03-31,10.38,$0.43,24.13
2012-12-31,7.92,$0.24,33.01
2012-09-30,7.28,$0.10,72.77
2012-06-30,6.9,$0.10,68.98
2012-03-31,7.49,$0.25,29.98
2011-12-31,6.76,$0.39,17.34
2011-09-30,6.18,$-0.04,0.0
2011-06-30,7.67,$-0.18,0.0
2011-03-31,8.63,$-0.29,0.0
2010-12-31,7.61,$-0.35,0.0
2010-09-30,5.46,$0.02,272.81
2010-06-30,7.03,$0.21,33.49
2010-03-31,6.45,$0.02,322.75
2009-12-31,7.83,$-1.01,0.0
