Hamilton Lane PE Ratio Historical Data,Hamilton Lane PE Ratio Historical Data,Hamilton Lane PE Ratio Historical Data,Hamilton Lane PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,149.2,,27.53
2024-12-31,148.05,$5.42,27.32
2024-09-30,167.9,$4.61,36.42
2024-06-30,122.83,$4.35,28.24
2024-03-31,111.6,$3.69,30.24
2023-12-31,111.81,$3.25,34.4
2023-09-30,88.78,$3.05,29.11
2023-06-30,78.13,$2.91,26.85
2023-03-31,71.85,$3.01,23.87
2022-12-31,61.67,$2.58,23.9
2022-09-30,57.23,$3.67,15.59
2022-06-30,64.13,$4.11,15.6
2022-03-31,73.31,$3.98,18.42
2021-12-31,97.81,$4.59,21.31
2021-09-30,79.8,$4.15,19.23
2021-06-30,85.38,$3.40,25.11
2021-03-31,82.66,$2.73,30.28
2020-12-31,72.59,$2.43,29.87
2020-09-30,59.81,$1.93,30.99
2020-06-30,62.07,$1.83,33.92
2020-03-31,50.71,$2.14,23.69
2019-12-31,54.38,$1.75,31.08
2019-09-30,51.73,$1.50,34.48
2019-06-30,51.58,$1.43,36.07
2019-03-31,39.4,$1.40,28.14
2018-12-31,33.28,$1.77,18.8
2018-09-30,39.59,$1.21,32.72
2018-06-30,42.69,$0.98,43.56
2018-03-31,32.98,$0.89,37.06
2017-12-31,31.2,$0.24,130.01
