GD Culture Group PE Ratio Historical Data,GD Culture Group PE Ratio Historical Data,GD Culture Group PE Ratio Historical Data,GD Culture Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.35,,0.0
2024-12-31,1.89,$-1.31,0.0
2024-09-30,3.67,$-1.31,0.0
2024-06-30,1.15,$-2.11,0.0
2024-03-31,1.03,$-1.72,0.0
2023-12-31,2.57,$-1.16,0.0
2023-09-30,2.99,$-1.16,0.0
2023-06-30,4.27,0,0.0
2023-03-31,2.58,$-15.02,0.0
2022-12-31,2.09,$-14.41,0.0
2022-09-30,4.78,$-14.41,0.0
2022-06-30,18.01,$-16.52,0.0
2022-03-31,27.12,$-4.20,0.0
2021-12-31,32.1,$-28.83,0.0
2021-09-30,38.7,$-28.83,0.0
2021-06-30,63.3,$-27.33,0.0
2021-03-31,107.4,$-17.12,0.0
2020-12-31,58.2,$7.21,8.08
2020-09-30,26.88,$7.21,3.73
2020-06-30,56.4,$8.11,6.96
2020-03-31,34.5,$2.40,14.36
2019-12-31,36.0,$0.90,39.96
2019-09-30,26.04,$-1.20,0.0
2019-06-30,44.55,$-1.20,0.0
2019-03-31,51.3,$-0.60,0.0
2018-12-31,45.9,$2.10,21.84
2018-09-30,69.01,$4.20,16.41
2018-06-30,119.87,$2.25,53.22
2018-03-31,135.0,$-0.75,0.0
2017-12-31,149.4,$-2.25,0.0
2017-09-30,149.25,$-2.70,0.0
2017-06-30,149.7,$-1.50,0.0
2017-03-31,149.4,$-2.25,0.0
2016-12-31,147.75,$-3.15,0.0
2016-09-30,148.35,$-2.70,0.0
