Charles River Associates PE Ratio Historical Data,Charles River Associates PE Ratio Historical Data,Charles River Associates PE Ratio Historical Data,Charles River Associates PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,177.84,,26.39
2024-12-31,187.2,$6.74,27.77
2024-09-30,174.89,$6.18,28.3
2024-06-30,171.36,$5.72,29.96
2024-03-31,148.47,$6.12,24.26
2023-12-31,97.82,$5.40,18.12
2023-09-30,99.27,$4.97,19.97
2023-06-30,100.16,$5.39,18.58
2023-03-31,105.48,$5.62,18.77
2022-12-31,119.37,$5.91,20.2
2022-09-30,86.27,$5.86,14.72
2022-06-30,86.54,$5.67,15.26
2022-03-31,81.34,$5.63,14.45
2021-12-31,89.8,$5.45,16.48
2021-09-30,95.24,$5.16,18.46
2021-06-30,81.84,$4.40,18.6
2021-03-31,71.14,$3.62,19.65
2020-12-31,48.37,$3.08,15.7
2020-09-30,35.38,$2.82,12.55
2020-06-30,37.11,$2.85,13.02
2020-03-31,31.2,$2.78,11.22
2019-12-31,50.62,$2.54,19.93
2019-09-30,38.83,$2.76,14.07
2019-06-30,35.29,$2.51,14.06
2019-03-31,46.29,$2.62,17.67
2018-12-31,38.82,$2.63,14.76
2018-09-30,45.63,$1.54,29.63
2018-06-30,46.1,$1.46,31.58
2018-03-31,47.23,$1.11,42.55
2017-12-31,40.46,$0.87,46.51
2017-09-30,36.82,$1.39,26.49
2017-06-30,32.45,$1.39,23.34
2017-03-31,31.43,$1.54,20.41
2016-12-31,32.44,$1.48,21.92
2016-09-30,23.46,$1.09,21.53
2016-06-30,22.25,$1.02,21.82
2016-03-31,17.33,$0.79,21.94
2015-12-31,16.46,$0.82,20.07
2015-09-30,19.04,$1.37,13.9
2015-06-30,24.59,$1.39,17.69
2015-03-31,27.46,$1.35,20.34
2014-12-31,26.75,$1.39,19.25
2014-09-30,22.44,$1.36,16.5
2014-06-30,20.34,$1.35,15.07
2014-03-31,19.39,$1.17,16.57
2013-12-31,17.47,$1.12,15.6
2013-09-30,16.43,$-4.58,0.0
2013-06-30,16.3,$-4.97,0.0
2013-03-31,19.74,$-5.04,0.0
2012-12-31,17.44,$-5.28,0.0
2012-09-30,15.25,$0.47,32.44
2012-06-30,12.96,$0.88,14.73
2012-03-31,22.25,$1.21,18.39
2011-12-31,17.51,$1.57,11.15
2011-09-30,17.66,$1.32,13.38
2011-06-30,23.9,$0.98,24.39
2011-03-31,25.44,$0.58,43.86
2010-12-31,20.74,$0.03,691.5
2010-11-30,19.5,$-0.14,0.0
2010-08-31,14.03,$-0.14,0.0
2010-06-30,16.62,$0.09,184.62
2010-05-31,19.61,$0.23,85.25
2010-02-28,23.47,$0.23,102.05
2009-12-31,23.52,$0.23,102.24
2009-11-30,21.95,0,0.0
