Boyd Gaming PE Ratio Historical Data,Boyd Gaming PE Ratio Historical Data,Boyd Gaming PE Ratio Historical Data,Boyd Gaming PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.74,,10.89
2024-12-31,72.54,$6.22,11.66
2024-09-30,64.5,$5.24,12.31
2024-06-30,54.82,$5.15,10.64
2024-03-31,66.77,$5.57,11.99
2023-12-31,61.93,$6.10,10.15
2023-09-30,60.01,$6.79,8.84
2023-06-30,68.27,$6.91,9.88
2023-03-31,62.96,$6.35,9.91
2022-12-31,53.4,$5.87,9.1
2022-09-30,46.54,$5.20,8.95
2022-06-30,48.44,$4.95,9.79
2022-03-31,63.86,$4.62,13.82
2021-12-31,63.36,$4.07,15.57
2021-09-30,61.13,$3.84,15.92
2021-06-30,59.42,$2.96,20.07
2021-03-31,56.98,$1.00,56.98
2020-12-31,41.48,$-0.06,0.0
2020-09-30,29.66,$-0.58,0.0
2020-06-30,20.2,$-0.56,0.0
2020-03-31,13.93,$0.83,16.79
2019-12-31,28.93,$1.39,20.81
2019-09-30,23.09,$1.38,16.73
2019-06-30,25.9,$1.13,22.92
2019-03-31,26.23,$1.04,25.22
2018-12-31,19.88,$1.00,19.88
2018-09-30,32.29,$1.51,21.39
2018-06-30,33.01,$1.61,20.5
2018-03-31,30.29,$1.69,17.92
2017-12-31,33.27,$1.64,20.29
2017-09-30,24.69,$1.04,23.74
2017-06-30,23.47,$3.81,6.16
2017-03-31,20.78,$3.65,5.69
2016-12-31,19.04,$3.63,5.25
2016-09-30,18.68,$3.46,5.4
2016-06-30,17.37,$0.71,24.47
2016-03-31,19.51,$0.39,50.02
2015-12-31,18.76,$0.41,45.76
2015-09-30,15.39,$0.18,85.5
2015-06-30,14.12,$-0.18,0.0
2015-03-31,13.41,$-0.11,0.0
2014-12-31,12.07,$-0.48,0.0
2014-09-30,9.59,$-0.62,0.0
2014-06-30,11.45,$-0.85,0.0
2014-03-31,12.46,$-0.73,0.0
2013-12-31,10.63,$-0.75,0.0
2013-09-30,13.36,$-10.56,0.0
2013-06-30,10.67,$-10.37,0.0
2013-03-31,7.81,$-10.49,0.0
2012-12-31,6.27,$-10.34,0.0
2012-09-30,6.67,$-0.11,0.0
2012-06-30,6.8,$0.11,61.8
2012-03-31,7.4,$0.07,105.75
2011-12-31,7.04,$-0.04,0.0
2011-09-30,4.63,$-0.11,0.0
2011-06-30,8.21,$-0.09,0.0
2011-03-31,8.85,$-0.02,0.0
2010-12-31,10.01,$0.12,83.41
2010-09-30,6.85,$0.19,36.03
2010-06-30,8.02,$0.20,40.08
2010-03-31,9.33,$0.31,30.09
2009-12-31,7.9,$0.05,158.06
